MOD0000001	Welcome..
MOD0000002	That's all..
MOD0000003	...That's all.
MOD0000004	Dog,,
MOD0000005	What did you do,?
MOD0000006	Take care.,
MOD0000007	Very well.,
MOD0000008	Of course.,
MOD0000009	All right.,
MOD0000010	No need to apologize.,
MOD0000011	Please do.,
MOD0000012	I'm serious.,
MOD0000013	Move along.,
MOD0000014	You're welcome.,
MOD0000015	You have,?
MOD0000016	What happens now,?
MOD0000017	What can I get you,?
MOD0000018	May I help you,?
MOD0000019	Here you go.,
MOD0000020	No, I haven't.,
MOD0000021	Go ahead.,
MOD0000022	Go ahead.,,
MOD0000023	Log,,
MOD0000024	Ask away.,
MOD0000025	Tell me about yourself.,
MOD0000026	Yes, ma'am.,
MOD0000027	Very well.,,
MOD0000028	Thanks,!
MOD0000029	Thank you,!
MOD0000030	Yes,?
MOD0000031	What do you want to know,?
MOD0000032	Was there something else,?
MOD0000033	Okay.,
MOD0000034	Thank You!,
MOD0000035	No.,
MOD0000036	No.,,
MOD0000037	Never mind.,
MOD0000038	I'm ready to travel with you.,
MOD0000039	What now,?
MOD0000040	No,.
MOD0000041	Take care of yourself.,
MOD0000042	Fire away.,
MOD0000043	Be careful.,
MOD0000044	Welcome.,
MOD0000045	What's your story,?
MOD0000046	Okay, what's on your mind,?
MOD0000047	Hello again.,
MOD0000048	What's up,?
MOD0000049	Thanks, I appreciate it.,
MOD0000050	Tell me about your past.,
MOD0000051	Take a look.,
MOD0000052	Until then.,
MOD0000053	Good.,
MOD0000054	What's on your mind,?
MOD0000055	What would you like to know,?
MCM0000001	Mod Configuration
MCM0000002	Select a mod to configure from the list on the left.
MCM0000003	The Mod Configuration Menu (MCM) has been installed.
MCM0000004	ERROR
MCM0000005	The Mod Configuration Menu cannot access its menu files. Either the files are missing, an error has occurred with the NVSE plugin, or a firewall/UAC is preventing access.    You may need to reinstall the mod, update your 32-bit Visual C++ 2010 Redistributable Package, or change your firewall/UAC settings.
MCM0000006	Select a sub-menu from the mod list on the left.
JSW0000001	JSawyer is loaded.
JSW0000002	Notes:
JSW0000003	* USE AT YOUR OWN RISK.
JSW0000004	* This mod *must* be applied at the start of the game to have full effect.  Do not apply mid-game or you will get errors!
JSW0000005	* This mod requires the base game and all DLCs: Dead Money, Honest Hearts, Old World Blues, Lonesome Road, Gun Runners' Arsenal, and Courier's Stash (Pre-Order DLCs).
JSW0000006	* This mod must be used with a load order manager and must be loaded after all of the above .esms.
JSW0000007	* This is a enduser difficulty tweak and general bugfixing mod, not an official patch or product.
JSW0000008	She has learned a secret Melee Weapon and Unarmed technique that increases her damage by 25%% and gives her a 25%% chance to knock down enemies.
JSW0000009	Caravan Pack, Classic Pack, Mercenary Pack, and Tribal Pack unique items placed in the Mojave Wasteland.
JSW0000010	Classic Pack items added to Chet's store.
JSW0000011	Mercenary Pack items added to Chet's store.
JSW0000012	Tribal Pack items added to Chet's store.
JSW0000013	Minor bonus to critically hit with Hatchets, Throwing Hatchets, Tomahawks, Proton Axes, Proton Throwing Axes, Protonic Inversal Axes, and Protonic Inversal Throwing Axes.
JSW0000014	I Never Axed For This [%]\16000  Cause damage with Hatchets, Throwing Hatchets, Tomahawks, Proton Axes, Proton Throwing Axes, Protonic Inversal Axes, and Protonic Inversal Throwing Axes.
JSW0000015	With the Lead Belly perk, you take 50% less radiation when consuming irradiated food and drink. You are also able to eat raw animal meat without suffering ST loss.
JSW0000016	You gain +10 Damage Threshold against all Melee Weapons and Unarmed attacks and cannot be knocked down in combat.
JSW0000017	You gain +15 lbs. to your carrying capacity, but suffer a -1 to all attributes any time the weight you're carrying drops below 75 lbs.
JSW0000018	No one's going to put you out to pasture 'cause you're going to stay young (and level 21) forever! You'll never again become addicted to chems, and they'll last twice as long... but after 21 you can kiss experience, perks, and skill points goodbye!
JSW0000019	You're just so excited about plasma that you can't (magnetically) contain yourself! The AP costs for all plasma weapons (including Plasma Grenades) are reduced by 20%. You also attack 20% faster with the same weapons.
JSW0000020	Meltdown causes foes killed by your plasma weapons to give off a corona of harmful energy. Note: this can cause a chain reaction.
JSW0000021	Just good, honest infantry work! You do 20% more damage with 9mm and .45 Auto Pistols and SMGs, Service Rifles, Assault Carbines, Battle Rifles, Light Machine Guns, Frag Grenades, Grenade Rifles and Launchers, and Combat Knives.
JSW0000022	Elijah obviously intended this to go to Veronica, but you earned it, right?[CRLF][CRLF]You've learned Elijah's secret technique and your Melee Weapon Critical Hits now do 125% more damage.
JSW0000023	Kill Feral Ghouls with Maria, Gehenna, Holy Frag Grenades, and A Light Shining in Darkness.
JSW0000024	With each rank of this perk, all of your Explosives weapons do an additional 10% damage and have 10% larger area of effect.
JSW0000025	With the Strong Back perk, you can carry 25 more pounds of equipment.
JSW0000026	In combat, you do +15% damage against female opponents. Outside of combat, you'll sometimes have access to unique dialogue options when dealing with the opposite sex.
JSW0000027	In combat, you do +15% damage against female opponents. Outside of combat, you'll sometimes have access to unique dialogue options when dealing with the same sex.
JSW0000028	You do 20% more damage when using any revolver, lever-action firearm, dynamite, knife, or hatchet.
JSW0000029	COMPANIONS ONLY[CRLF]* Mult Weap DAM 0.25[CRLF]* Mult Target DT 0.25[CRLF]* Decrease Carry Weight 75[CRLF]* Increase DR 33%
JSW0000030	Any living creature you kill has a 15% chance to have the potent healing items Thin Red Paste or Blood Sausage when looted.
JSW0000031	You gain a non-addictive subdermal Turbo (chem) injector. This perk may be taken twice, with the second rank increasing the effect from 2 to 3 seconds and the uses per day from 2 to 3. [Activated in the Pip-Boy inventory.]
JSW0000032	Reduced Sneak
JSW0000033	!AAO Lucky Battle Armor
JSW0000034	Lucky Battle Armor
JSW0000035	Never Axed For This
JSW0000036	I Never Axed For This
JSW0000037	!AAD Stimpak, Homemade
