1DE0000001	Vault 101 Access Terminal[CRLF]
1DE0000002	Welcome Back, Administrator Berkeley
1DE0000003	National Archives Robotics Terminal[CRLF]TJEFF002 Thomas Jefferson Pod
1DE0000004	National Archives Robotics Terminal[CRLF]JADAM002 John Adams Pod
1DE0000005	National Archives Robotics Terminal[CRLF]BFRAN001 Benjamin Franklin Pod
1DE0000006	National Archives Robotics Terminal[CRLF]ERUTL001 Edward Rutledge Pod
1DE0000007	National Archives Robotics Terminal[CRLF]JWILS002 John Wilson Pod
1DE0000008	National Archives Robotics Terminal[CRLF]BACK001 Backup Protectron Pod
1DE0000009	Identify Source for Download Subroutine Data
1DE0000010	TJEFF002 Thomas Jefferson Pod Link Confirmed
1DE0000011	Washington DC Metro Transit Authority[CRLF]Meresti Trainyard Remote Access Security Terminal[CRLF]
1DE0000012	Strength is a measure of your raw physical power. It affects how much you can carry, and determines the effectiveness of all melee attacks.
1DE0000013	A high Perception grants a bonus to the Explosives, Lockpick and Energy Weapons skills, and determines when red compass markings appear (which indicate threats).
1DE0000014	Endurance is a measure of your overall physical fitness. A high Endurance gives bonuses to health, environmental resistances, and the Big Guns and Unarmed skills.
1DE0000015	Having a high Charisma will improve people's disposition toward you, and give bonuses to both the Barter and Speech skills.
1DE0000016	Intelligence affects the Science, Repair and Medicine skills. The higher your Intelligence, the more Skill Points you'll be able to distribute when you level up.
1DE0000017	Agility affects your Small Guns and Sneak skills, and the number of Action Points available for V.A.T.S.
1DE0000018	Raising your Luck will raise all of your skills a little. Having a high Luck will also improve your critical chance with all weapons.
1DE0000019	The Barter skill affects the prices you get for buying and selling items. In general, the higher your Barter skill, the lower your prices on purchased items.
1DE0000020	The Big Guns skill determines your combat effectiveness with all oversized weapons such as the Fat Man, Missile Launcher, Flamer, Minigun and Gatling Laser.
1DE0000021	The Energy Weapons skill determines your effectiveness with weapons such as the Laser Pistol, Laser Rifle, Plasma Rifle and Plasma Pistol.
1DE0000022	The Explosives skill determines the power of any set mines, the ease of disarming any hostile mines, and the effectiveness of any thrown grenades.
1DE0000023	The Lockpick skill is used to open locked doors and containers.
1DE0000024	The Medicine skill determines how many Hit Points you'll replenish upon using a Stimpak, and the effectiveness of Rad-X and RadAway.
1DE0000025	The Melee Weapons skill determines your effectiveness with any melee weapon, from the simple lead pipe all the way up to the high-tech Super Sledge.
1DE0000026	The Repair skill allows you to maintain any weapons and apparel. In addition, the higher your Repair skill, the better the starting condition of any custom-made weapons.
1DE0000027	The Science skill represents your combined scientific knowledge, and is primarily used to hack restricted computer terminals.
1DE0000028	Small Guns determines your effectiveness with all conventional projectile weapons, such as the 10mm pistol, BB Gun, Assault Rifle, and Combat Shotgun.
1DE0000029	The higher your Sneak skill, the easier it is to remain undetected, steal an item, or pick someone's pocket. Successfully attacking while undetected grants an automatic critical hit.
1DE0000030	The Speech skill governs how much you can influence someone through dialogue, and gain access to information they might otherwise not want to share.
1DE0000031	The higher your Throwing skill, the more likely you are to hurl a thrown weapon like a rock, Molotov cocktail or grenade exactly where you want to.
1DE0000032	The Unarmed skill is used for fighting without a weapon, or with the few weapons specifically designed for hand-to-hand combat, like Brass Knuckles or the Power Fist.
1DE0000033	Used for medical services.
1DE0000034	Vault-Tec Administration System[CRLF]Records Database 923-A[CRLF][CRLF]****NETWORK OFFLINE****[CRLF]Please check your local connection
1DE0000035	DC Area Vault Listings
1DE0000036	DCTA Metro Map[CRLF]------------------------------------
1DE0000038	****ERROR****[CRLF]Files Corrupted.[CRLF]Please reinstall operating system software.
1DE0000039	ACCESS RESTRICTED
1DE0000040	Vault 87 Information
1DE0000041	Vault 87 Equipment Issuances
1DE0000042	ERROR 0x03C663A1[CRLF]"Network connection not found"[CRLF]"Dummy terminal inactive"
1DE0000043	ERROR 0xFFFFF710[CRLF]"Processor Corru;xsfkleg,,g364[735}3__."
1DE0000044	ERROR 0xBA53FFFA[CRLF]"Malicious Programs Detected."[CRLF]"Virus Detected. Shutting Down."
1DE0000045	ERROR 0x357C5001[CRLF]"Bad Sectors Found In Boot Block."[CRLF]"Terminal Error."[CRLF]
1DE0000046	ERROR 0x07F6BAAC[CRLF]"Bad Data. Cannot Read."
