1DE0000001	볼트 101 제어 단말기[CRLF][CRLF]
1DE0000002	귀환을 환영합니다, 버클리 관리자님[CRLF]
1DE0000003	국립 기록 보관소 로봇공학 단말기[CRLF]TJEFF002 토마스 제퍼슨 포드[CRLF]
1DE0000004	국립 기록 보관소 로봇공학 단말기[CRLF]JADAM002 존 아담스 포드[CRLF]
1DE0000005	국립 기록 보관소 로봇공학 단말기[CRLF]BFRAN001 벤자민 프랭클린 포드[CRLF]
1DE0000006	국립 기록 보관소 로봇공학 단말기[CRLF]ERUTL001 에드워드 루트리게 포드[CRLF]
1DE0000007	국립 기록 보관소 로봇공학 단말기[CRLF]JWILS002 존 윌슨 포드[CRLF]
1DE0000008	국립 기록 보관소 로봇공학 단말기[CRLF]BACK001 예비용 프로텍트론 포드[CRLF]
1DE0000009	다운로드한 서브루틴 자료의 소스 식별[CRLF]
1DE0000010	TJEFF002 토마스 제퍼슨 포드 연결 확인됨[CRLF]
1DE0000011	워싱턴 DC 대중 교통 지하철[CRLF]메레스티역 원격 제어 보안 단말기[CRLF][CRLF]
1DE0000012	힘은 당신의 순수한 신체적 능력을 결정합니다. 얼만큼 들고 다닐 수 있는지에 영향을 주고, 모든 근접 공격의 세기를 결정합니다.
1DE0000013	높은 인지력은 폭발물, 자물쇠 따기, 에너지 무기 기술에 보너스를 줍니다. 또한 붉은 막대로 표시되는 적을 발견하는 범위를 결정합니다.
1DE0000014	지구력은 신체적 건강의 기준입니다. 높은 지구력은 체력, 환경에 대한 면역력, 대형 화기, 격투 기술에 보너스를 줍니다.
1DE0000015	높은 매력 수치를 가지면 사람들의 태도가 좋아지며, 흥정과 화술 기술에 보너스를 받습니다.
1DE0000016	지능은 과학, 수리, 의학 기술에 영향을 줍니다. 지능이 높을수록 레벨이 오를 때 더 많은 기술 점수를 얻습니다.
1DE0000017	민첩성은 소형 화기, 은신 기술에 영향을 주며 V.A.T.S에서 사용되는 AP에 영향을 줍니다.
1DE0000018	행운이 높으면 모든 기술 점수가 약간씩 오르고, 모든 무기의 치명타 확률이 상승합니다.
1DE0000019	흥정 기술은 물건을 사고 파는 가격에 영향을 줍니다. 이 기술이 높으면 물건을 싸게 살 수 있습니다.
1DE0000020	대형 화기 기술은 팻-맨, 미사일 런처, 화염방사기, 미니건, 게틀링 레이저같은 큰 무기들의 효과를 결정합니다.
1DE0000021	에너지 무기 기술은 레이저 권총, 레이저 소총, 플라즈마 소총, 플라즈마 권총 같은 에너지 무기의 효과를 결정합니다.
1DE0000022	폭발물 기술은 모든 지뢰 종류의 파괴력을 결정합니다. 또한 지뢰 해체와 수류탄의 효과를 결정합니다.
1DE0000023	자물쇠 따기 기술은 잠긴 문과 상자를 열 때 사용 됩니다.
1DE0000024	의학 기술은 스팀팩으로 회복 시키는 체력의 양을 결정하며, 라드-X와 라드어웨이의 효과에 영향을 줍니다.
1DE0000025	근접 무기 기술은 단순한 쇠파이프에서 최첨단 초강력 쇠망치에 이르는 모든 근접무기의 효과를 결정합니다.
1DE0000026	수리 기술은 모든 무기와 복장을 유지 보수 할수 있게 해줍니다. 이 기술이 높을수록 직접 제작한 무기의 기본 내구도가 높아집니다.
1DE0000027	과학 기술은 당신의 과학 관련 지식을 나타냅니다. 주로 컴퓨터 단말기를 해킹할 때 사용됩니다.
1DE0000028	소형 화기 기술은 10mm 권총, BB탄 총, 돌격 소총, 전투 산탄총 같은 모든 전통적인 발사형 무기의 효력을 결정합니다.
1DE0000029	은신 기술은 쉽게 숨고, 쉽게 훔칠 수 있게 해 줍니다. 은신 상태에서 적을 공격하면 자동적으로 치명타가 됩니다.
1DE0000030	화술 기술은 대화를 통해 상대에게 얼마만큼 영향을 줄 수 있는지를 결정하고 상대가 숨기고 싶어하는 정보를 말하게 만들어 줍니다.
1DE0000031	투척 기술은 돌멩이, 화염병, 수류탄을 얼마 쉽게 던지는지를 결정합니다.
1DE0000032	격투 기술은 맨손 공격력에 영향을 주며, 너클이나 파워 피스트 같은 맨손 격투에 사용되는 무기의 효력을 결정합니다.
1DE0000033	치료 목적으로만 사용
1DE0000034	볼트-텍 관리자 시스템[CRLF]기록 자료 923-A[CRLF][CRLF]****네트워크 오프라인****[CRLF]네트워크 연결을 확인 해 주십시오[CRLF]
1DE0000035	DC 지역의 볼트 목록[CRLF]
1DE0000036	DCTA 지하철 지도[CRLF]------------------------------------[CRLF]
1DE0000038	****오류****[CRLF]파일 손상.[CRLF]구동 소프트웨어를 재 설치 해주십시오.[CRLF]
1DE0000039	접근 제한[CRLF]
1DE0000040	볼트 87 정보[CRLF]
1DE0000041	볼트 87 장비 지급[CRLF]
1DE0000042	오류 0x03C663A1[CRLF]"네트워크 연결을 찾을 수 없습니다"[CRLF]"모형 단말기 비활성화"[CRLF]
1DE0000043	오류 0xFFFFF710[CRLF]"처리장치 오;RJFI2?DJK#MC(,,735DKe3__."[CRLF]
1DE0000044	오류 0xBA53FFFA[CRLF]"악성 코드 발견."[CRLF]"바이러스 발견. 전원을 끄십시오."[CRLF]
1DE0000045	오류 0x357C5001[CRLF]"부트 블럭에서 불량 섹터가 발견되었습니다."[CRLF]"단말기 오류."[CRLF][CRLF]
1DE0000046	오류 0x07F6BAAC[CRLF]"자료 불량. 읽을 수 없습니다."[CRLF]
1DE0000047	오류 0x00B636C6[CRLF]"입력 장치가 연결 되지 않았습니다."[CRLF]"자판을 다시 연결 해 주십시오."[CRLF]
1DE0000048	오류 0xF141A013[CRLF]"저장 장치를 찾을 수 없습니다."[CRLF]"저장 장치 연결을 확인 하십시오."[CRLF]
1DE0000056	슈퍼 뮤턴트는 종종 센타우로스를 동반 합니다. 센타우로스는 "경비견" 역할로서 주인에게 위험을 알려줍니다.
1DE0000057	처음 폭탄이 떨어진 해부터 여러해 동안 대부분의 개들은 방사능의 영향을 받지 않았습니다.
1DE0000058	데스클로는 황무지의 정착민들이 마주친 가장 놀라운 생물체 중의 하나입니다. 그들의 속도와 폭력성은 오직 그들의 발톱 크기와 일치합니다.
1DE0000059	아이봇은 미리 녹음된 이든 대통령의 엔클레이브 메시지를 황무지 전역에 퍼뜨린다.
1DE0000060	야생 구울은 판단력을 잃어서 눈에 보이는 사람은 닥치는대로 공격합니다.
1DE0000061	구울은, "정상" 이든 야생이든, 방사능에 면역일 뿐만 아니라... 방사능에 의해 치료됩니다.
1DE0000062	야생 구울 중에 밝게 빛나는 놈은 살아있는 방사능 전달체라 할 수 있습니다.
1DE0000063	마이얼럭 킹은 멀리서 적을 약화시키는 강력한 음파 공격을 사용합니다.
1DE0000064	미스터 것시 모델의 로봇은 2077년 핵 멸망 직전에 미군에 의해 청탁되었습니다.
1DE0000065	강력 프로텍트론 모델의 로봇은 대전쟁 이전에 만들어졌으며, 개인용과 사업용 보안로봇으로 사용되었습니다.
1DE0000066	로보브레인은 핵전쟁 이전에 제너럴 아토믹사에서 개발되었으며, 독특하게도 중앙처리장치에 생물의 뇌를 사용합니다.
1DE0000067	볼트 101 정보[CRLF]
1DE0000068	브랜디스의 개인 기록[CRLF]
1DE0000069	누카-콜라 영업부[CRLF]누카-콜라 홍보 정책[CRLF]
1DE0000070	누카-콜라 연구개발부서[CRLF]보안 문서 NKC002![CRLF]
1DE0000071	나락의 파멸(Os Abysmi Vel Daath)[CRLF]
1DE0000072	아브라함 워싱턴 - 개인 기록[CRLF]현재 진척도 및 상태[CRLF]
1DE0000073	정보[CRLF]저희의 정보를 활용하세요[CRLF]
1DE0000074	당신이 성공적으로 은신한 상태라면 적에 대한 첫번째 공격은 언제나 치명타가 됩니다.
1DE0000075	밝게 빛나는 놈은 적에게 방사능을 오염 시키는 능력이 있으며 근처에 있는 야생 구울들을 치료 합니다.
1DE0000076	미스터 것시는 유명한 미스터 핸디 모델의 전투형태이며, 플라즈마 무기와 화염 방사기로 무장하고 있습니다.
1DE0000077	조 해머스틴의 일기[CRLF]
1DE0000078	황무지에는 범죄와 처벌에 대한 제도적 장치가 없습니다. 누군가에게 나쁜 짓을 했다면, 살해 당할 수도 있습니다.
1DE0000079	빌리거나 소유한 침대에서 잠을 자면 "충분한 휴식 효과" 보너스를 얻고 몇시간동안 획득 경험치 상승의 효과가 있습니다.
1DE0000080	지능은 과학, 수리, 의학 기술의 효과를 결정합니다.
1DE0000081	의학 기술은 여러가지 약물이나 라드-X나 라드어웨이같은 방사능 관리 약품의 효과를 결정합니다.
1DE0000082	원자교의 교회는 2077년 핵전쟁이 그들의 신, 원자에 의해 이루어진 성스러운 사건이라고 믿습니다.
1DE0000083	인지력은 붉은 막대로 표시되는 적을 발견하는 범위를 결정합니다.
1DE0000084	동물의 친구 퍽이 2단계가 되면, 동물들이 당신의 전투를 도와줍니다. (다른 동물들과 싸우지는 않습니다)
1DE0000085	수리 기술이 높을수록 직접 제작한 무기의 기본 내구도가 높아집니다.
1DE0000086	경비 대장 하크네스와 그의 경비원들은 모든 위반자들에 대해 치명적 무기를 사용 할 수 있도록 허가 받았습니다.
1DE0000087	적에게 들키고 싶지 않다면 그림자에 숨어 천천히 움직이고 적의 뒤쪽에 있도록 하십시오... 그리고 핍-보이 전등을 꺼 주십시오!
1DE0000088	로봇 전문가 퍽을 가지고 있으면서 적 로봇에게 접근 했다면, 로봇의 전원을 꺼버릴 수 있습니다.
1DE0000089	안전한 침대에서 자면 편하게 휴식을 취할 수 있으며, 몇 시간동안 10%의 경험치를 더 얻을 수 있습니다.
1DE0000090	당신의 신체는 유전적 강화로 힘과 그레이디치 화염개미의 화염저항력을 얻었습니다. 힘은 1이 증가했고 25% 화염저항력을 얻었습니다.
1DE0000091	당신의 신체는 유전적 강화로 인지력과 그레이디치 화염개미의 화염저항력을 얻었습니다. 인지력은 1이 증가했고 25% 화염저항력을 얻었습니다.
1DE0000092	오버시어가 볼트 101의 리더라는 것은 논의할 여지가 없으며 그의 말이 곧 법입니다.
1DE0000093	10살이 되면 모든 볼트 101 거주자는 핍-보이 3000이라는 개인 정보 저장 장치를 받습니다.
1DE0000094	16살이 되면 모든 볼트 101 거주자는 직업 결정을 도와주는 표준 직업 적성 검사(G.O.A.T)를 받습니다.
1DE0000095	볼트 101 보안 경비들은 그들의 재량과 충성심에 따라 오버시어에 의해 직접 선발됩니다.
1DE0000096	볼트 101 의 거주자들은 이따금씩 방사능 바퀴의 공격을 받는 일 말고는 외부 세계로부터 보호 되어 있습니다.
1DE0000097	국립 기록 보관소 로봇공학 관리실 단말기[CRLF]유닛별로 기록된 최근의 문제점 - P. 브란세프 - 로봇공학 팀[CRLF]
1DE0000098	국립 기록 보관소 로봇공학 단말기[CRLF]BGWIN009 버튼 그윈넷 포드[CRLF]
1DE0000099	국립 기록 보관소 로봇공학 단말기[CRLF]JHANC003 존 헨콕 포드[CRLF]
1DE0000100	보통은 흥정 기술이 높을수록 물건을 싸게 살 수 있습니다.
1DE0000101	대형 화기 기술은 팻-맨, 락-잇-런처, 미사일런처, 화염방사기, 게틀링레이저, 미니건 같은 무기들의 효능을 결정합니다.
1DE0000102	에너지 무기 기술은 에일리언 블래스터, 레이저 권총, 레이저 소총, 최면총, 플라즈마 소총, 플라즈마 권총 같은 무기들의 효능을 결정합니다.
1DE0000104	새로이 개정된 첩보 법령, 미국 법령 50장 31, 32항의 무단 사용 금지령에 의거. 500달러의 벌금을 부여하며, 구금될 수 있습니다.[CRLF]유사시: 터널 시스템에 접근하기 위해 안전 격납고 문을 작동합니다. 트랙에서 벗어나 주시고, 좋은 하루 보내세요.[CRLF]
1DE0000105	어서오십시오. 지하철 보안팀입니다.[CRLF][CRLF]
1DE0000106	웨스턴 레스코 박사[CRLF]보안 - 허가 없이 건드리지 마시오[CRLF]
1DE0000107	야전 보고[CRLF]프로텍터 캐스딘[CRLF]0700 지상 정찰 : 페어팩스[CRLF][CRLF][CRLF]
1DE0000108	야전 보고[CRLF]디펜더 락파울[CRLF]0300 특수부대 정찰 임무[CRLF][CRLF][CRLF][CRLF]
1DE0000109	볼트-텍 거주지 컴퓨터 네트워크 V10.1[CRLF]환영합니다, 고메즈...[CRLF]
1DE0000110	볼트-텍 거주지 컴퓨터 네트워크 V10.1[CRLF][CRLF]환영합니다, 베아트리체...[CRLF]
1DE0000111	라운지 #37번 감시 스테이션[CRLF]거주민 ID: 374 -- 뉴스범, G.[CRLF][CRLF]
1DE0000112	라운지 #37번 감시 스테이션[CRLF]거주민 ID: 375 -- 뉴스범, P.[CRLF][CRLF]
1DE0000113	라운지 #37번 감시 스테이션[CRLF]거주민 ID: 377 -- 뉴스범, T.[CRLF][CRLF]
1DE0000114	라운지 #37번 감시 스테이션[CRLF]거주민 ID: 226 -- 락웰, R.[CRLF][CRLF]
1DE0000115	라운지 #37번 감시 스테이션[CRLF]거주민 ID: 115 -- 락웰, J.[CRLF][CRLF]
1DE0000116	라운지 #37번 감시 스테이션[CRLF]거주민 ID:227 -- M.심슨.[CRLF]
1DE0000117	라운지 #37번 감시 스테이션[CRLF]거주민 ID: 헨더슨, M.[CRLF][CRLF]
1DE0000118	라운지 #37번 감시 스테이션[CRLF]거주민 ID: 642 -- 디터, T.[CRLF][CRLF]경고: 불완전한 읽기. 포드 연결을 확인해주시기 바랍니다[CRLF]
1DE0000119	라운지 #37번 감시 스테이션[CRLF]거주민 ID: 999 -- 브라운, S.[CRLF]
