1NA0000001	Vault 101 Terminal
1NA0000009	Brianna
1NA0000012	Justin
1NA0000013	Wasteland
1NA0000014	Robert
1NA0000015	Fire Ant Nest Guardian
1NA0000016	Noodle Stand Supply Key
1NA0000018	Leo Stahl's Supply Key
1NA0000024	Turret Generator
1NA0000026	Potomac Steamworks
1NA0000037	Impound Information
1NA0000039	Dialogue
1NA0000052	Administrator Berkeley's Terminal
1NA0000054	Admin Notice u89003
1NA0000057	TJEFF002 Thomas Jefferson
1NA0000058	JADAM002 John Adams
1NA0000059	BFRAN001 Benjamin Franklin
1NA0000060	ERUTL001 Edward Rutledge
1NA0000061	JWILS002 John Wilson
1NA0000062	BACK001 Backup Protectron
1NA0000063	Backup Protectron Unit
1NA0000064	Thomas Jefferson
1NA0000067	GNR Boradcast Effect
1NA0000069	Jefferson Unit Maintenance Note
1NA0000073	Police Station Terminal
1NA0000074	Interactive Button
1NA0000079	Meresti Trainyard Station Security Terminal
1NA0000080	Meresti Security Password
1NA0000088	Tunnel Snake Outfit
1NA0000092	Rivet City Security
1NA0000100	Moriarty's Saloon Supply Key
1NA0000104	Arlington Cemetery South
1NA0000129	Big Guns
1NA0000137	Small Guns
1NA0000140	Throwing
1NA0000142	Talon Company Merc
1NA0000145	My House in Megaton
1NA0000148	Sewer Entrance
1NA0000151	Canterbury Tunnels
1NA0000152	AntAgonizer's Lair
1NA0000156	Ignore Negative Effects
1NA0000158	Officer Armstrong
1NA0000159	Officer Taylor
1NA0000161	Colin Moriarty's Key
1NA0000168	Citadel - B Ring
1NA0000169	Citadel - A Ring
1NA0000170	Chinese Assault Rifle
1NA0000171	.32 Caliber Round
1NA0000173	Grayditch Dumpster Key
1NA0000174	Dead Chinese Commando
1NA0000175	Vault-Tec Terminal
1NA0000179	.32 Pistol
1NA0000183	Megaton Settler
1NA0000188	DEBUG MESSAGE
1NA0000193	Switch
1NA0000216	Oasis
1NA0000217	Armory Key
1NA0000219	Lucas Simms
1NA0000220	Colin Moriarty
1NA0000221	Gob
1NA0000222	Nova
1NA0000223	Walter
1NA0000224	Billy Creel
1NA0000225	Maggie
1NA0000227	Manya
1NA0000228	Lucy West
1NA0000230	Mister Burke
1NA0000231	Leo Stahl
1NA0000233	Andy Stahl
1NA0000234	Jenny Stahl
1NA0000235	Doc Church
1NA0000236	Confessor Cromwell
1NA0000238	Mother Maya
1NA0000240	Jericho
1NA0000241	Harden Simms
1NA0000242	Megaton
1NA0000260	Zhu-Rong v418 Chinese Pistol
1NA0000279	Outcast Power Armor
1NA0000280	Outcast Power Helmet
1NA0000281	Protector Casdin
1NA0000285	Geomapper Module
1NA0000301	Wally Mack
1NA0000302	Butch
1NA0000303	Paul Hannon
1NA0000304	Survivor
1NA0000312	Little Lamplight Office Building
1NA0000313	Little Lamplight Armory
1NA0000314	Spelunkers Restaurant
1NA0000315	Lamplight Restrooms
1NA0000316	Murder Pass
1NA0000317	Lamplight Caverns
1NA0000318	Souvenir Shop
1NA0000319	Womens Restroom
1NA0000320	W. Brandice's Terminal
1NA0000322	Marketing Terminal
1NA0000337	Vance's Terminal
1NA0000338	Abraham Washington's Terminal
1NA0000341	Insert one Cap or Museum Token
1NA0000342	Professor Malleus
1NA0000343	Professor Malleus Audio Log V92-01
1NA0000344	Professor Malleus Audio Log V92-02
1NA0000345	Professor Malleus Audio Log V92-03
1NA0000346	Professor Malleus Audio Log V92-04
1NA0000347	Professor Malleus Audio Log V92-05
1NA0000348	Professor Malleus Audio Log V92-06
1NA0000349	Overseer Rubin Personal Entry 00897398
1NA0000350	Zoe Hammerstein's Terminal
1NA0000352	Project Purity Control Panel
1NA0000373	Rivet City Market
1NA0000390	Seward Square Artillery
1NA0000391	Glass Doors
1NA0000400	.32 Bullet
1NA0000420	Rockopolis
1NA0000427	Archives Intercom
1NA0000431	Ticket Booth Door
1NA0000433	Gary 32
1NA0000434	Gary 25
1NA0000435	Gary 29
1NA0000436	Gary 33
1NA0000437	Gary 27
1NA0000438	Gary 43
1NA0000439	Gary 47
1NA0000440	Gary 17
1NA0000441	Gary 12
1NA0000442	Gary 1
1NA0000445	Bobblehead Collector's Stand
1NA0000446	Agility Bobblehead
1NA0000447	Barter Bobblehead
1NA0000448	Big Guns Bobblehead
1NA0000449	Charisma Bobblehead
1NA0000450	Endurance Bobblehead
1NA0000451	Energy Weapons Bobblehead
1NA0000452	Explosives Bobblehead
1NA0000453	Intelligence Bobblehead
1NA0000454	Lockpick Bobblehead
1NA0000455	Luck Bobblehead
1NA0000456	Medicine Bobblehead
1NA0000457	Melee Weapons Bobblehead
1NA0000458	Perception Bobblehead
1NA0000459	Repair Bobblehead
1NA0000460	Science Bobblehead
1NA0000461	Small Guns Bobblehead
1NA0000462	Sneak Bobblehead
1NA0000463	Speech Bobblehead
1NA0000464	Strength Bobblehead
1NA0000465	Unarmed Bobblehead
1NA0000472	Wazer Wifle
1NA0000473	Biwwy
1NA0000481	Child of Atom
1NA0000490	Dead Settler
1NA0000492	Metro Access & Generator
