1NA0000001	º¼Æ® 101 ´Ü¸»±â
1NA0000009	ºê¸®¾Æ³ª
1NA0000012	Àú½ºÆ¾
1NA0000013	È²¹«Áö
1NA0000014	·Î¹öÆ®
1NA0000015	È­¿° µÕÁö ¼öÈ£ °³¹Ì
1NA0000016	¶ó¸é ÀÚÆÇ±â º¸±ÞÇÔ ¿­¼è
1NA0000018	·¹¿À ½ºÅ»ÀÇ º¸±ÞÇÔ ¿­¼è
1NA0000024	Æ÷Å¾ ¹ßÀü±â
1NA0000026	Æ÷Åä¸Æ Áõ±âÈ¸»ç
1NA0000037	¾Ð¼ö Á¤º¸
1NA0000039	´ëÈ­
1NA0000052	°ü¸®ÀÚ ¹öÅ¬¸®ÀÇ ´Ü¸»±â
1NA0000054	°ü¸®ÀÚ °øÁö u89003
1NA0000057	TJEFF002 Åä¸¶½º Á¦ÆÛ½¼
1NA0000058	JADAM002 Á¸ ¾Æ´ã½º
1NA0000059	º¥ÀÚ¹Î ÇÁ·©Å¬¸° 001
1NA0000060	ERUTL001 ¿¡µå¿öµå ·¯Æ²¸®Áö
1NA0000061	JWILS002 Á¸ Àª½¼
1NA0000062	Áö¿ø ÇÁ·ÎÅØÆ®·Ð 001
1NA0000063	Áö¿ø ÇÁ·ÎÅØÆ®·Ð
1NA0000064	Åä¸¶½º Á¦ÆÛ½¼
1NA0000067	GNR¹æ¼Û È¿°ú
1NA0000069	Á¦ÆÛ½¼ À¯´Ö °ü¸® ³ëÆ®
1NA0000073	°æÂû¼­ ´Ü¸»±â
1NA0000074	Àû¿ë ¹öÆ°
1NA0000079	¸Þ·¹½ºÆ¼ Â÷·®±âÁö º¸¾È ´Ü¸»±â
1NA0000080	¸Þ·¹½ºÆ¼ ±¸±Ý½Ç ºñ¹Ð¹øÈ£
1NA0000088	ÅÍ³Î½º³×ÀÌÅ© º¹Àå
1NA0000092	¸®ºª½ÃÆ¼ °æºñ
1NA0000100	¸ð¸®¾ÆÆ¼ »ì·î Ã¢°í ¿­¼è
1NA0000104	¾Ë¸µÅÏ ±¹¸³¹¦Áö ³²ºÎ
1NA0000129	ÁßÈ­±â
1NA0000137	¼ÒÇü È­±â
1NA0000140	´øÁö±â
1NA0000142	Å»·Ð ÄÄÆÛ´Ï ¿ëº´
1NA0000145	¸Þ°¡ÅæÀÇ ³ªÀÇ Áý
1NA0000148	ÇÏ¼öµµ ÀÔ±¸
1NA0000151	ÄµÅÍº£¸® ÅÍ³Î
1NA0000152	°³¹Ì¿©ÀÎÀÇ µÕÁö
1NA0000156	ºÎÁ¤È¿°ú ¹«½Ã
1NA0000158	¿ÀÇÇ¼­ ¾Ï½ºÆ®·Õ
1NA0000159	¿ÀÇÇ¼­ Å×ÀÏ·¯
1NA0000161	ÄÝ¸° ¸ð¸®¾ÆÆ¼ÀÇ ¿­¼è
1NA0000168	½ÃÅ¸µ¨ - B ¸µ
1NA0000169	½ÃÅ¸µ¨ - A ¸µ
1NA0000170	Áß°ø±º µ¹°Ý ¼ÒÃÑ
1NA0000171	.32 Åº¾à
1NA0000173	±×·¹ÀÌµðÄ¡ ¼ö³³±â ¿­¼è
1NA0000174	Áß°ø±º Æ¯°ø´ë¿ø ½ÃÃ¼
1NA0000175	º¼Æ®-ÅØ ´Ü¸»±â
1NA0000179	.32 ±ÇÃÑ
1NA0000183	¸Þ°¡Åæ ÀÌÁÖ¹Î
1NA0000188	¿À·ù ¾Ë¸²
1NA0000193	½ºÀ§Ä¡
1NA0000216	¿À¾Æ½Ã½º
1NA0000217	º´±â°í ¿­¼è
1NA0000219	·çÄ«½º ½ÉÁî
1NA0000220	ÄÝ¸° ¸ð¸®¾ÆÆ¼
1NA0000221	±¢
1NA0000222	³ë¹Ù
1NA0000223	¿ùÅÍ
1NA0000224	ºô¸® Å©¸±
1NA0000225	¸Å±â
1NA0000227	¸Å³Ä
1NA0000228	·ç½Ã ¿þ½ºÆ®
1NA0000230	¹öÅ©
1NA0000231	·¹¿À ½ºÅ»
1NA0000233	¾Øµð ½ºÅ»
1NA0000234	Á¦´Ï ½ºÅ»
1NA0000235	´ÚÅÍ Ã³Ä¡
1NA0000236	¼±ÁöÀÚ Å©·ÒÀ£
1NA0000238	¸¶´õ ¸¶¾ß
1NA0000240	Á¦¸®ÄÚ
1NA0000241	ÇÏµ§ ½ÉÁî
1NA0000242	¸Þ°¡Åæ
1NA0000260	(¡Ú) Áê-·ÕÀÇ v418 Áß±¹½Ä ±ÇÃÑ
1NA0000279	¾Æ¿ôÄ³½ºÆ® ÆÄ¿ö ¾Æ¸Ó
1NA0000280	¾Æ¿ôÄ³½ºÆ® ÆÄ¿ö Çï¸ä
1NA0000281	ÇÁ·ÎÅØÅÍ Ä³½ºµò
1NA0000285	ÁöÇü ±â·Ï ÀåÄ¡
1NA0000301	¿ù¸® ¸Æ
1NA0000302	¹öÄ¡
1NA0000303	Æú ÇØ³í
1NA0000304	»ýÁ¸ÀÚ
1NA0000312	¸®Æ² ·¥ÇÁ¶óÀÕ ¿ÀÇÇ½º ºôµù
1NA0000313	¸®Æ² ·¥ÇÁ¶óÀÕ º´±â°í
1NA0000314	µ¿±¼Å½Çè°¡ ·¹½ºÅä¶û
1NA0000315	·¥ÇÁ¶óÀÕ È­Àå½Ç
1NA0000316	»ìÀÎÀÚÀÇ Åë·Î
1NA0000317	·¥ÇÁ¶óÀÌÆ® µ¿±¼
1NA0000318	±â³äÇ° »óÁ¡
1NA0000319	¿©ÀÚ È­Àå½Ç
1NA0000320	ºê·£µð½ºÀÇ ´Ü¸»±â
1NA0000322	¸Å¸Å ´Ü¸»±â
1NA0000337	¹ê½ºÀÇ ´Ü¸»±â
1NA0000338	¾Æºê¶óÇÔ ¿ö½ÌÅÏÀÇ ´Ü¸»±â
1NA0000341	º´¶Ñ²±1°³³ª ¹Ú¹°°üÅäÅ«À» ³ÖÀ¸½Ã¿À.
1NA0000342	¸»·¯½º ±³¼ö
1NA0000343	¸»·¯½º ±³¼öÀÇ ¿Àµð¿À ±â·Ï V92-01
1NA0000344	¸»·¯½º ±³¼öÀÇ ¿Àµð¿À ±â·Ï V92-02
1NA0000345	¸»·¯½º ±³¼öÀÇ ¿Àµð¿À ±â·Ï V92-03
1NA0000346	¸»·¯½º ±³¼öÀÇ ¿Àµð¿À ±â·Ï V92-04
1NA0000347	¸»·¯½º ±³¼öÀÇ ¿Àµð¿À ±â·Ï V92-05
1NA0000348	¸»·¯½º ±³¼öÀÇ ¿Àµð¿À ±â·Ï V92-06
1NA0000349	¿À¹ö½Ã¾î ·¯ºóÀÇ °³ÀÎ ±â·Ï 00897398
1NA0000350	ÁÒ ÇØ¸Ó½ºÆ¾ÀÇ ´Ü¸»±â
1NA0000352	Á¤È­ °èÈ¹ Á¦¾î ÆÐ³Î
1NA0000373	¸®ºª½ÃÆ¼ ½ÃÀå
1NA0000390	¼ö¿öµå ±¤Àå Æ÷°Ý
1NA0000391	À¯¸® ¹®
1NA0000400	.32 Åº
1NA0000420	·ÎÄÚÆú¸®½º
1NA0000427	±â·Ïº¸°ü¼Ò ÀÎÅÍÄÞ
1NA0000431	¸ÅÇ¥¼Ò ¹®
1NA0000433	°Ô¸® 32
1NA0000434	°Ô¸® 25
1NA0000435	°Ô¸® 29
1NA0000436	°Ô¸® 33
1NA0000437	°Ô¸® 27
1NA0000438	°Ô¸® 43
1NA0000439	°Ô¸® 47
1NA0000440	°Ô¸® 17
1NA0000441	°Ô¸® 12
1NA0000442	°Ô¸® 1
1NA0000445	¹öºíÇìµå ¼öÁý´ë
1NA0000446	¹ÎÃ¸¼º ¹öºíÇìµå
1NA0000447	ÈïÁ¤ ¹öºíÇìµå
1NA0000448	ÁßÈ­±â ¹öºíÇìµå
1NA0000449	¸Å·Â ¹öºíÇìµå
1NA0000450	Áö±¸·Â ¹öºíÇìµå
1NA0000451	¿¡³ÊÁö ¹«±â ¹öºíÇìµå
1NA0000452	Æø¹ß¹° ¹öºíÇìµå
1NA0000453	Áö´É ¹öºíÇìµå
1NA0000454	ÀÚ¹°¼è µû±â ¹öºíÇìµå
1NA0000455	Çà¿î ¹öºíÇìµå
1NA0000456	ÀÇÇÐ ¹öºíÇìµå
1NA0000457	±ÙÁ¢ ¹«±â ¹öºíÇìµå
1NA0000458	ÀÎÁö·Â ¹öºíÇìµå
1NA0000459	¼ö¸® ¹öºíÇìµå
1NA0000460	°úÇÐ ¹öºíÇìµå
1NA0000461	¼ÒÇü È­±â ¹öºíÇìµå
1NA0000462	Àº½Å ¹öºíÇìµå
1NA0000463	È­¼ú ¹öºíÇìµå
1NA0000464	Èû ¹öºíÇìµå
1NA0000465	°ÝÅõ ¹öºíÇìµå
1NA0000472	(¡Ú) ¿þÀÌÀú ¿ÍÀÌÇÃ
1NA0000473	ºñÀ§
1NA0000481	¿øÀÚÀÇ ÈÄ¿¹
1NA0000490	ÀÌÁÖ¹Î ½ÃÃ¼
1NA0000492	ÁöÇÏÃ¶¿ªÁøÀÔ·Î & ¹ßÀü±â
1NA0000494	Â÷°í ¹®
1NA0000501	±Ý°í½Ç º¸¾È ´Ü¸»±â
1NA0000502	¹öÆ° ±×À©³Ý 009
1NA0000503	JHANC003 Á¸ ÇÚÄÛ
1NA0000544	¼öÀ§ Á¶Àý Àü·Â½ºÀ§Ä¡
1NA0000554	±º¿ë ÆÄ¿ö ¾Æ¸Ó
1NA0000555	¶óÀÌ¾ð½º ÇÁ¶óÀÌµå ¼Ò´ë ÆÄ¿ö ¾Æ¸Ó
1NA0000560	¸® ¹Ú»çÀÇ ¿­¼è
1NA0000561	º£³íÀÇ ¿­¼è
1NA0000562	½Ã½ºÅÍÀÇ ¿­¼è
1NA0000563	ÇÃ·¢°ú »þÇÁ³ÚÀÇ ¿­¼è
1NA0000564	Áü¸ÓÀÇ ¿­¼è
1NA0000565	¿µÀÇ ¿­¼è
1NA0000566	Ä­Æ¼¿¤¸®ÀÇ ¿­¼è
1NA0000567	½ºÅÚ¸®ÀÇ ¿­¼è
1NA0000568	¾¾±×·¹ÀÌºê È¨ÁîÀÇ ¿­¼è
1NA0000569	ÇÏÅ©´Ï½ºÀÇ ¿­¼è
1NA0000570	ÇÁ·¹½ºÅÏ ¹Ú»çÀÇ ¿­¼è
1NA0000571	µ§¹öÀÇ ¿­¼è
1NA0000572	º§¶ó ¿þ´ú¸®ÀÇ ¿­¼è
1NA0000587	°íÇâ¿¡ ¹ß»ýÇÑ ¹®Á¦
1NA0000589	·¡µð¿¡ÀÌ¼Ç Å·
1NA0000592	±¹¸³ º¸°ü¼Ò º¸¾È ºñ¹Ð¹øÈ£
1NA0000609	DCTA ±ä±Þ ÁøÀÔ·Î ´Ü¸»±â
1NA0000611	¾ß¿À°úÀÌ ¼Ò±¼
1NA0000612	¿­¼è - ±â¼ú ¹Ú¹°°ü °ü¸®ÀÚ
1NA0000617	È²¹«Áö »óÀÎ
1NA0000622	ºÀ¼âµÈ ¹®
1NA0000623	°³¹Ì¿©ÀÎ ÄÚ½ºÃõ
1NA0000626	¿ö½ÌÅÏ ±â³ä°ü ºñ¹Ð¹øÈ£ º¯°æ
1NA0000627	´ÚÅÍ ¸®ÀÇ »çÁø
1NA0000628	¾ß¿À°úÀÌ µ¿±¼
1NA0000667	·¹½ºÄÚ ¹Ú»çÀÇ ´Ü¸»±â
1NA0000670	ÀÎµðÆæ´ø½º ¿ä»õ ¾ßÀü º¸°í¼­ 1
1NA0000671	ÀÎµðÆæ´ø½º ¿ä»õ ¾ßÀü º¸°í¼­ 2
1NA0000672	¾ßÀü º¸°í
1NA0000678	¸í¶ûÇÑ Àè
1NA0000684	¾²¸®µ¶
1NA0000688	º¼Æ® 101 ¿ª»ç ¼ö¾÷ Æò°¡
1NA0000689	º¼Æ® 101 ¼ö¾÷ Æò°¡
1NA0000697	º£¾ÆÆ®¸®Ã¼ÀÇ ÄÄÇ»ÅÍ
1NA0000700	º¼Æ® 101 ÀÛ¾÷¿ë °­È­º¹
1NA0000705	¶ó¿îÁö ¸ð´ÏÅÍ -- ´ã´ç: G. ´º½º¹ã
1NA0000706	¶ó¿îÁö ¸ð´ÏÅÍ -- ´ã´ç: P. ´º½º¹ã
1NA0000707	¶ó¿îÁö ¸ð´ÏÅÍ -- ´ã´ç: T. ´º½º¹ã
1NA0000708	¶ó¿îÁö ¸ð´ÏÅÍ -- ´ã´ç: R. ·ÏÀ£
1NA0000709	¶ó¿îÁö ¸ð´ÏÅÍ -- ´ã´ç: J. ·ÏÀ£
1NA0000710	¶ó¿îÁö ¸ð´ÏÅÍ -- ´ã´ç: M. ½É½¼
1NA0000711	¶ó¿îÁö ¸ð´ÏÅÍ -- ´ã´ç: M. ÇÚ´õ½¼
1NA0000712	¶ó¿îÁö ¸ð´ÏÅÍ -- ´ã´ç: T. µð´õ½º
1NA0000713	Æ®·£Äþ¸®Æ¼ ¶ó¿îÁö ¸ð´ÏÅÍ
1NA0000714	º¼Æ® 112 °ÅÁÖÀÚ »óÅÂ
1NA0000722	º¼Æ® 112 °ÅÁÖÀÚ ½ºÆ®·¹½º ·¹º§
1NA0000734	ÁøÈëÅÁ ¼úÁý ¿­¼è
1NA0000735	Æ®¸®´ÏÀÇ ¿­¼è
1NA0000736	ºê·ÏÀÇ ¿­¼è
1NA0000738	¼º ¸ð´ÏÄ«ÀÇ ¿­¼è
1NA0000740	µð¿¡°íÀÇ ¿­¼è
1NA0000741	Å¬¸®Æ÷µå ½ÅºÎÀÇ ¿­¼è
1NA0000743	¸ÞÀÌ ¿ÕÀÇ ¿­¼è
1NA0000744	ÇÏ±×·¹ÀÌºêÀÇ ¿­¼è
1NA0000747	·ÎÆäÁîÀÇ ¿­¼è
1NA0000748	Å×µå ½ºÆ®·¹ÀÌ¾îÀÇ ¿­¼è
1NA0000756	ÅÙÆä´Ï Å¸¿ö ·Îºñ
1NA0000757	ÅÙÆä´Ï ½ºÀ§Æ®·ë
1NA0000758	ÆæÆ®ÇÏ¿ì½º ½ºÀ§Æ®·ë
1NA0000760	ÅÙÆä´ÏÅ¸¿ö ¹ßÀü½Ç ¿­¼è
1NA0000768	Ä¿´Ù¶õ °³¹Ì¾Ë ´õ¹Ì
