1NO0000001	-----Case# 45602-----
1NO0000002	Department: Impound
1NO0000003	Vehicle ID: 16598325-64178-A366
1NO0000004	Owner: Wilkins, Jenny
1NO0000005	Offense(s):
1NO0000006	4 Parking Tickets
1NO0000007	Note(s):
1NO0000008	During tow, perp entered into a screaming match with the driver claiming presence of an infant in the vehicle.  Upon further inspection after the tow, her baby was indeed in the back seat.  We've since moved the child into the lost and found and are holding it until Ms. Wilkins pays impound fines and retrieves her automobile.
1NO0000009	I'm recording this as a formal complaint on behalf of the U.S. Department of Records. Med-Tek Labs has just sent their last shipment of Fruit Mentats to load into the Prize Redemption Terminal outside of the Rotunda. I do not appreciate this monument to U.S. History being used as a testing ground for Med-Tek. This is supposed to be a place of solemn introspection, not a laboratory. In the future, when we choose sponsors for our exhibits, I'd appreciate being consulted beforehand.
1NO0000010	Please note that the Rotunda cargo lift has now been fitted with a full security lockout system to prevent unauthorized access and tampering. As of today the only way to use the lift from the Rotunda side is to patch a maintenance terminal directly into the floor data ports.
1NO0000011	If anyone has information regarding the swapping of the voice software from our Thomas Jefferson Protectron performer with a radio uplink and frequency software, please stop by my office. I can appreciate humor just as much as anyone, but certain individuals working at this facility feel the need for constant mischief and it has to stop.
1NO0000012	The JADAM002 John Adams Unit is designed primarily as a participant in our reenactments of the signing of the Declaration of Independence show. This unit plays the part of John Adams of Massachusetts, one of the future U.S. Presidents. This unit is also programmed with the standard Tour Guide Assistance subroutines and limited Security subroutines.
1NO0000013	The BFRAN001 Benjamin Franklin Unit is designed primarily as a participant in our reenactments of the signing of the Declaration of Independence show. This unit plays the part of Benjamin Franklin of Virginia, oldest signer of the Declaration. This unit is also programmed with the standard Tour Guide Assistance subroutines and limited Security subroutines.
1NO0000014	The ERUTL001 Edward Rutledge Unit is designed primarily as a participant in our reenactments of the signing of the Declaration of Independence show. This unit plays the part of Edward Rutledge of South Carolina, youngest signer of the Declaration. This unit is also programmed with the standard Tour Guide Assistance subroutines and limited Security subroutines.
1NO0000015	The BACK001 Backup Protectron Unit is designed primarily as an emergency replacement unit for any of the other Protectron units. In the event of a malfunction, make sure the defective unit is in its pod and use this system to download its routines to the backup. This unit is also programmed with the standard Tour Guide Assistance subroutines and limited Security subroutines.
1NO0000016	The JWILS002 James Wilson Unit is designed primarily as a participant in our reenactments of the signing of the Declaration of Independence show. This unit plays the part of James Wilson of Pennsylvania, one of the first future Supreme Court Justices of the U.S. This unit is also programmed with the standard Tour Guide Assistance subroutines and limited Security subroutines.
1NO0000017	The TJEFF002 Thomas Jefferson Unit is designed primarily as a participant in our reenactments of the signing of the Declaration of Independence show. This unit plays the part of Thomas Jefferson of Virginia, future President of the U.S. and primary author of the Declaration. This unit is also programmed with the standard Tour Guide Assistance subroutines and limited Security subroutines.
1NO0000018	If anyone has information regarding the swapping of the voice software from our Thomas Jefferson Protectron performer with a radio uplink and frequency scanning software, please stop by Administrator Berkeley's office. This unit has been taken offline until we can repair the damage.
1NO0000019	P. Brantseg - Robotics Team
1NO0000020	The password to unlock the security door blocking Ian's holding cell is "Vespertilio".
1NO0000021	Every day in the Vault is a day of freedom and safety from the horrors outside. Celebrate each new day and be thankful for your home.
1NO0000022	Accept who you are and embrace your role in the Vault. There are no worthless jobs, and no worthless people... except those without jobs.
1NO0000023	Loyalty keeps us strong. Caution keeps us secure. The Vault keeps us alive.
1NO0000024	The Vault is our world and our succor. There is nothing outside the Vault except death.
1NO0000025	For generations, the Vault has been our home. Now, we can get to know the neighborhood.
1NO0000026	-----Case# 43027-----
1NO0000027	Department: Recovery
1NO0000028	Vehicle ID: 87463520-34578-C237
1NO0000029	Owner: Faye, Danielle
1NO0000031	Abandoned Car
1NO0000032	Other, Not Yet Determined
1NO0000034	Car found along highway with burnt-out engine. It appears to have been stolen and taken on a joyride, and matches descriptions of cars in a variety of recent, out-of-state traffic-offenses.
1NO0000035	When recovered, car's contents included: two pairs of pliers, one Canadian flag, assorted theatrical costumes, 4 bottles of tequila (empty), one pool cue (broken), and four garden gnomes, strapped to front bumper.
1NO0000036	Owner reported car stolen four days prior, but her story has many inconsistencies. Bring Miss Faye in for further questioning.
1NO0000037	Hubris Comics - Summer 2077 Schedule
1NO0000038	A Glorious Summer for Hubris and America!
1NO0000039	178956970.4
1NO0000040	Captain Cosmos: Truth, Justice, and the Space-American Way
1NO0000041	Kid Wacky's Zany Hi-Jinks
