1TE0000004	Vault Door Activated
1TE0000006	<Data Corrupt>
1TE0000012	Notice u89003
1TE0000013	Notice u89017
1TE0000014	Notice u89110
1TE0000015	Unlock Office Safe
1TE0000016	National Archives Robotics Terminal
1TE0000017	TJEFF002 Thomas Jefferson Pod
1TE0000019	Unit Directives
1TE0000020	Activate Unit
1TE0000021	Recall Unit
1TE0000022	Shutdown Unit
1TE0000023	Maintenance Notice
1TE0000025	JADAM002 John Adams Pod
1TE0000032	BFRAN001 Benjamin Franklin Pod
1TE0000039	ERUTL001 Edward Rutledge Pod
1TE0000046	JWILS002 John Wilson Pod
1TE0000053	BACK001 Backup Protectron Pod
1TE0000065	Programming Subroutines
1TE0000079	Execute Transfer
1TE0000080	Cancel Transfer
1TE0000084	Unlock Contraband Closet
1TE0000085	Washington DC Metro Transit Authority
1TE0000086	Meresti Trainyard Remote Access Security Terminal
1TE0000088	Unlock Security Area Door
1TE0000089	Activate Internal Security
1TE0000090	Activate Protectron Security Unit
1TE0000091	Vault-Tec Administration System
1TE0000092	Records Database 923-A
1TE0000093	****NETWORK OFFLINE****
1TE0000094	Please check your local connection
1TE0000097	Vault-Tec Personnel Assignments
1TE0000098	Order Requisition Forms
1TE0000101	Vault 76
1TE0000111	View/Download Metro Map
1TE0000116	Files Corrupted.
1TE0000117	Please reinstall operating system software.
1TE0000124	Equipment Issuances
1TE0000125	Personnel Assignments
1TE0000126	Project Goals
1TE0000129	4 Stasis Chambers
1TE0000130	3 Plasma Containment Fields
1TE0000131	1 G.E.C.K.
1TE0000134	ERROR 0x03C663A1
1TE0000135	"Network connection not found"
1TE0000136	"Dummy terminal inactive"
1TE0000138	ERROR 0xFFFFF710
1TE0000139	"Processor Corru;xsfkleg,,g364[735}3__."
1TE0000141	ERROR 0xBA53FFFA
1TE0000142	"Malicious Programs Detected."
1TE0000143	"Virus Detected. Shutting Down."
1TE0000145	ERROR 0x357C5001
1TE0000146	"Bad Sectors Found In Boot Block."
1TE0000147	"Terminal Error."
1TE0000149	ERROR 0x07F6BAAC
1TE0000150	"Bad Data. Cannot Read."
1TE0000152	ERROR 0x00B636C6
1TE0000153	"No Input Device Recognized."
1TE0000154	"Reconnect Keyboard."
1TE0000156	ERROR 0xF141A013
1TE0000157	"No Data Storage Detected."
1TE0000158	"Check Tape Drive Connection."
1TE0000193	6-17-2277
1TE0000194	4-02-2277
1TE0000195	2-24-2277
1TE0000196	11-15-2276
1TE0000197	10-30-2276
1TE0000198	10-02-2276
1TE0000199	Nuka-Cola Marketing Department
1TE0000200	Nuka-Cola Quantum Campaign Directives
1TE0000202	Company Announcement
1TE0000203	Stage One
1TE0000204	Stage Two
1TE0000205	Stage Three
1TE0000206	Nuka-Cola Research Department
1TE0000207	Security Clearance NKC002 Only!
1TE0000210	Quantum Progress Report 0067
1TE0000211	Quantum Progress Report 0055
1TE0000212	Quantum Progress Report 0041
1TE0000213	New Flavor Coming!
1TE0000216	Vampires Defined
1TE0000217	Daytime Fear
1TE0000218	Vampire Destruction
1TE0000219	Unlock Wall Safe
1TE0000220	Regarding the Arefu Incident
1TE0000221	Abraham Washington - Private Notes
1TE0000222	Current Expeditions and Status
1TE0000224	Declaration Expedition
1TE0000225	Lincoln Artifacts Expedition
1TE0000226	Liberty Bell Expedition
1TE0000227	Information
1TE0000228	Feel Free to Browse our Collection
1TE0000230	Constitution of the U.S.A.
1TE0000238	Zoe's Thoughts
1TE0000239	More of Zoe's Thoughts
1TE0000240	morre of Zoes Thoughts
1TE0000241	klkhi plEAsse.HF puu HeLP meeLp
1TE0000242	National Archives Robotics Maintenance Terminal
1TE0000243	Current Issues Listed by Unit - P. Brantseg - Robotics Team
1TE0000245	Unlock All Strongroom Doors
1TE0000246	Unlock All East Wing Doors
1TE0000247	Unlock Mag-Sealed Doors
1TE0000249	BGWIN009 Button Gwinnett Pod
1TE0000256	JHANC003 John Hancock Pod
1TE0000262	New Amended Espionage Act, 50 U.S.C, 31 and 32 prohibits unauthorized use, subject to a fine of $500.00, and possible imprisonment.
1TE0000263	IN CASE OF EMERGENCY: Activate Containment Doors to gain access to tunnel system. Stay clear of the tracks, and have a nice day.
1TE0000265	Distress call to DCTA
1TE0000266	Open Containment Door
1TE0000267	Close Containment Door
1TE0000268	Welcome to Metro Security
1TE0000270	Activate Metro Protectron
1TE0000271	Deactivate Metro Protectron
1TE0000272	Turn on Metro Escalators
1TE0000273	Turn on Metro Lights
1TE0000274	Doctor Weston Lesko
1TE0000275	Private - Please Do Not Access Without Permission
1TE0000277	Personal Notes
1TE0000278	Unlock Hatchery Access Door
1TE0000283	<Transfer Audio Record>
1TE0000289	Vault-Tec Residential Computer Network v10.1
1TE0000290	Welcome, Ms. Gomez...
1TE0000292	Vault 101 Electronic Postal Box
1TE0000294	FROM: FreddieGomez
1TE0000295	FROM: Overseer
1TE0000296	FROM: DanielBrotch
1TE0000298	Welcome, Beatrice...
1TE0000306	LOUNGER #37 MONITOR STATION
1TE0000307	RESIDENT ID: 374 -- NEUSBAUM, G.
1TE0000309	DISPLAY RESIDENT STATUS
1TE0000311	DISPLAY RESIDENT STRESS LEVEL
1TE0000314	RESIDENT ID: 375 -- NEUSBAUM, P.
1TE0000321	RESIDENT ID: 377 -- NEUSBAUM, T.
1TE0000328	RESIDENT ID: 226 -- ROCKWELL, R.
1TE0000335	RESIDENT ID: 115 -- ROCKWELL, J.
1TE0000342	RESIDENT ID: 227 -- SIMPSON, M.
1TE0000349	RESIDENT ID: HENDERSON, M.
1TE0000356	RESIDENT ID: 642 -- DITHERS, T.
1TE0000357	WARNING: INCONSISTENT READINGS. PLEASE CHECK POD CONNECTIONS
1TE0000364	RESIDENT: 999 -- BRAUN, S.
1TE0000368	"Chinese Invasion" Failsafe Subroutine Access
1TE0000369	Welcome, Dr. Braun
1TE0000371	Initiate "Chinese Invasion" Failsafe
1TE0000373	Failsafe Program Documentation
1TE0000374	Dr. Braun Entry: Failsafe
1TE0000375	Version Control Notes
1TE0000378	Display Current Version Control
1TE0000379	Display Previous Version Notes
1TE0000381	Meresti Trainyard Remote Access Entry Terminal
1TE0000383	Unlock Station Access Door
1TE0000384	RobCo Service Terminal
1TE0000385	V 6.0.3.2.1.a
1TE0000387	For More Top Of The Line
1TE0000388	RobCo Products See
1TE0000389	Your Local Showroom.
1TE0000391	Reset Price List
1TE0000392	10% Holiday Discount
1TE0000393	Set up 50% VIP Discount
1TE0000394	SoftLock Solutions, Inc
1TE0000395	"Your Security is Our Security"
1TE0000398	Disengage Lock
1TE0000406	Run Maintenance Routine
1TE0000411	Lock Door
1TE0000414	Note from Management Regarding Sector B
1TE0000415	Shut Down Security in Sector B
1TE0000416	Activate Security in Sector B
1TE0000423	Operate Lift
1TE0000426	Raise Platform
1TE0000427	Lower Platform
1TE0000431	Shut Down Turrets in Sector A
1TE0000432	Activate Turrets in Sector A
1TE0000434	Note from Frank
1TE0000440	Activate Emergency Pulse Explosion
1TE0000442	6.KGGGL7.DDD.2KQP
1TE0000443	Vault-Tec Inc. -  Vault 101
1TE0000444	Settle in and stay a while!
1TE0000446	Test Hydroponics Systems
1TE0000449	Test Air Filtration Systems
1TE0000452	Begin Water Chip Service
1TE0000455	Seal Recording Studio
1TE0000456	Open Recording Studio
1TE0000457	Intra-Vault Mail 000339
1TE0000458	Intra-Vault Mail 000344
1TE0000459	Intra-Vault Mail 000350
1TE0000460	-RobCo Trespasser Management System-
1TE0000463	Re-configure Targeting Parameters
1TE0000464	> <!>WARNING: No Targeting Data<!>
1TE0000465	Activate Turret System
1TE0000466	Deactivate Turret System
1TE0000467	System Information
1TE0000615	Run Ticket Check Routine
1TE0000618	---Sewer Management Welcomes You---
1TE0000619	Please insert a command.
1TE0000620	v0.78
1TE0000622	Water Treatment Status
1TE0000623	Activate Storage Door
1TE0000624	Purge Sewage Overflow
1TE0000625	Rivet City Clinic Computer System
1TE0000626	For doctor's eyes only. Unauthorized use will result in fine, confinement, or possible banishment by order of the City Council.
1TE0000632	City Founders Log
1TE0000633	Android log 1
1TE0000634	Android log 2
1TE0000635	Android log 3
1TE0000636	Before Picture
1TE0000637	After Picture
1TE0000640	Commies Crushed - Alaska Liberated!
1TE0000641	Food Riots Rile Feds
1TE0000644	U.S. to Annex Canada!
1TE0000645	Development of Super Weapon Confirmed
1TE0000648	United Nations Disbanded!
1TE0000649	Pint-Sized Slasher: More than Myth?
1TE0000650	LOB Enterprises Front Desk
1TE0000651	Welcome Ms. Warring
1TE0000652	Please remember to always ask for I.D. and greet visitors with a smile.
1TE0000654	All Personnel: Emergency Protocols
1TE0000655	Email: Weapon Practice Tonight?
1TE0000656	Sent Item: MAN THE DOORS!!
1TE0000657	All Personnel: Caps in Emails
1TE0000658	National Archives Maintenance Terminal
1TE0000659	Current Issues Listed by Unit
1TE0000661	BGWIN009 Tour Guide Protectron
1TE0000662	TRT007 Automated Turret
1TE0000663	EMT002 Mr. Handy Medical Unit
1TE0000664	TJEFF002 Tour Guide Protectron
1TE0000666	Run Water Chip Diagnostic
1TE0000669	Begin Manual Service
1TE0000670	End Manual Service
