1TE0000004	볼트 문 작동
1TE0000006	<자료 손상>
1TE0000012	통보 u89003
1TE0000013	통보 u89017
1TE0000014	통보 u89110
1TE0000015	사무실 금고 잠금해제
1TE0000016	국립 기록 보관소 로봇공학 단말기
1TE0000017	TJEFF002 토마스 제퍼슨 포드
1TE0000019	유닛 설명
1TE0000020	유닛 작동
1TE0000021	유닛 호출
1TE0000022	유닛 전원 차단
1TE0000023	정비 기록
1TE0000025	JADAM002 존 아담스 포드
1TE0000032	BFRAN001 벤자민 프랭클린 포드
1TE0000039	ERUTL001 에드워드 러틀리지 포드
1TE0000046	JWILS002 존 윌슨 포드
1TE0000053	BACK001 예비용 프로텍트론 포드
1TE0000065	서브루틴 프로그래밍
1TE0000079	전송 시작
1TE0000080	전송 중지
1TE0000084	밀수품 보관함 잠금 해제
1TE0000085	워싱턴 DC 대중 교통 지하철
1TE0000086	메레스티역 원격 제어 보안 단말기
1TE0000088	보안 구역 문 잠금 해제
1TE0000089	내부 보안 시스템 작동
1TE0000090	보안 프로텍트론 로봇 작동
1TE0000091	볼트-텍 관리자 시스템
1TE0000092	기록 자료 923-A
1TE0000093	****네트워크 오프라인****
1TE0000094	네트워크 연결을 확인 해 주십시오
1TE0000097	볼트-텍 거주민 과제
1TE0000098	요청 양식 주문
1TE0000101	볼트 76
1TE0000111	지하철 지도 보기/다운로드
1TE0000116	파일 손상.
1TE0000117	구동 소프트웨어를 재 설치 해주십시오.
1TE0000124	장비 지급
1TE0000125	거주민 과제
1TE0000126	목표 계획
1TE0000129	4 균형실
1TE0000130	3 플라즈마 격납 구역
1TE0000131	1 G.E.C.K.
1TE0000134	오류 0x03C663A1
1TE0000135	"네트워크 연결을 찾을 수 없습니다"
1TE0000136	"모형 단말기 비활성화"
1TE0000138	오류 0xFFFFF710
1TE0000139	"처리장치 오;RJFI2?DJK#MC(,,735DKe3__."
1TE0000141	오류 0xBA53FFFA
1TE0000142	"악성 코드 발견."
1TE0000143	"바이러스 발견. 전원을 끄십시오."
1TE0000145	오류 0x357C5001
1TE0000146	"부트 블럭에서 불량 섹터가 발견되었습니다."
1TE0000147	"단말기 오류."
1TE0000149	오류 0x07F6BAAC
1TE0000150	"자료 불량. 읽을 수 없습니다."
1TE0000152	오류 0x00B636C6
1TE0000153	"입력 장치가 연결 되지 않았습니다."
1TE0000154	"자판을 다시 연결 해 주십시오."
1TE0000156	오류 0xF141A013
1TE0000157	"저장 장치를 찾을 수 없습니다."
1TE0000158	"저장 장치 연결을 확인 하십시오."
1TE0000193	137866
1TE0000194	137790
1TE0000195	137753
1TE0000196	137652
1TE0000197	137636
1TE0000198	137608
1TE0000199	누카-콜라 영업부
1TE0000200	누카-콜라 홍보 정책
1TE0000202	회사 공시
1TE0000203	1단계
1TE0000204	2단계
1TE0000205	3단계
1TE0000206	누카-콜라 연구개발부서
1TE0000207	보안 문서 NKC002!
1TE0000210	퀀텀 진행 보고서 0067
1TE0000211	퀀텀 진행 보고서 0055
1TE0000212	퀀텀 진행 보고서 0041
1TE0000213	새로운 맛이 온다!
1TE0000216	흡혈귀의 정의
1TE0000217	낮의 두려움
1TE0000218	흡혈귀의 파멸
1TE0000219	금고 벽 잠금 해제
1TE0000220	아르푸 사건에 대하여
1TE0000221	아브라함 워싱턴 - 개인 기록
1TE0000222	현재 진척도 및 상태
1TE0000224	선언문 진척도
1TE0000225	링컨의 유물 진척도
1TE0000226	자유의 종 진척도
1TE0000227	정보
1TE0000228	저희의 정보를 활용하세요
1TE0000230	미국의 헌법
1TE0000238	조의 생각들
1TE0000239	더 많은 조의 생각들
1TE0000240	더욱더 많은 조의 생각들
1TE0000241	klk도A와sse.HF줘u요ee제L발p
1TE0000242	국립 기록 보관소 로봇공학 관리실 단말기
1TE0000243	유닛별로 기록된 최근의 문제점 - P. 브란세프 - 로봇공학 팀
