///Project Nevada	
PJN0000001	Three Shooter
PJN0000002	.44 Pistol
PJN0000003	5mm Submachine Gun
PJN0000004	Auto-Gauss
PJN0000005	Dragoon Assault Rifle
PJN0000006	Dragoon Pistol
PJN0000007	Chinese Sniper Rifle
PJN0000008	Dragoon Sword
PJN0000009	Alloy Steel Combat Shotgun
PJN0000010	Cryo Revolver
PJN0000011	European Battle Rifle
PJN0000012	Flamer Pistol
PJN0000013	Gauss Minigun
PJN0000014	Auto-Gauss Pistol
PJN0000015	Homemade Assault Rifle
PJN0000016	Homemade Plasma Rifle
PJN0000017	Homemade Rifle
PJN0000018	Stealth Laser Pistol
PJN0000019	Liberator Rifle
PJN0000020	Replica Repeater
PJN0000021	Remote Frag Mine
PJN0000022	Remote Plasma Mine
PJN0000023	Remote Pulse Mine
PJN0000024	Molotov Cocktail
PJN0000025	Q-41 MultiPlas Prototype
PJN0000026	AES18 Prototype
PJN0000027	The People's Rifle
PJN0000028	Remote Pipebomb
PJN0000029	Plasma Disruptor
PJN0000030	Plasma Repeater
PJN0000031	Rail Cannon
PJN0000032	Tesla Rifle Prototype
PJN0000033	Wattz Laser Pistol
PJN0000034	Wattz Laser Rifle
PJN0000035	Charged MultiPlas Rifle
PJN0000036	Charged Plasma Disruptor
PJN0000037	Charged TriBeam Laser Rifle
PJN0000038	Cryo Effect
PJN0000039	Conversion, ECP to 2mm EC
PJN0000040	Conversion, MFC to 2mm EC
PJN0000041	Conversion, SEC to 2mm EC
PJN0000042	Cryo Rounds
PJN0000043	Q-41 Prototype Research Log
PJN0000044	Schematics - Cryo Rounds
PJN0000045	Cooling Unit
PJN0000046	Power Armor Training Manual
PJN0000047	Gloria's Keycard
PJN0000048	Three Shooter Barrel Reinforcement
PJN0000049	5mm SMG Extended Barrel
PJN0000050	5mm SMG Laser Sight
PJN0000051	5mm SMG Silencer
PJN0000052	Homemade Assault Rifle Silencer
PJN0000053	Homemade Plasma Rifle Scope
PJN0000054	Homemade Rifle Scope
PJN0000055	Auto-Gauss Cooling Unit
PJN0000056	Auto-Gauss Accelerators
PJN0000057	Auto-Gauss Night Scope
PJN0000058	Euro Battle Rifle Ext. Barrel
PJN0000059	Euro Battle Rifle Folding Stock
PJN0000060	Euro Battle Rifle Night Scope
PJN0000061	Lacey container
PJN0000062	Red Rock container
PJN0000063	188Gunrunner container
PJN0000064	188Michelle container
PJN0000065	188NCR container
PJN0000066	Blake container
PJN0000067	Chet container
PJN0000068	CliffBriscoe container
PJN0000069	DaleBarton container
PJN0000070	GunRunnerHQ container
PJN0000071	JohnsonNash container
PJN0000072	OldLadyGibson container
PJN0000073	Bardon container
PJN0000074	Torres container
PJN0000075	VanGraff container
PJN0000076	A Suit Named Slickback
PJN0000077	A Hat Named Slickback
PJN0000078	Advanced Recon Armor
PJN0000079	Advanced Recon Helmet
PJN0000080	Desert Recon Armor
PJN0000081	Airforce T-57C Power Armor Helmet
PJN0000082	Airforce T-57C Power Armor
PJN0000083	Vault Tec Power Armor Helmet
PJN0000084	Vault-Tec Power Armor
PJN0000085	Armored Duster
PJN0000086	Death Walker Duster
PJN0000087	Army Jumpsuit
PJN0000088	Ranger Recon Armor
PJN0000089	Ranger Recon Helmet
PJN0000090	Cryo Round
PJN0000091	Suit Antivenom
PJN0000092	Suit Stimpak
PJN0000093	Mysterious Sword
PJN0000094	Alien P-Module
PJN0000095	Cryo
PJN0000096	Rail Spike
PJN0000097	While using a pistol (or similar one-handed weapon), your accuracy in V.A.T.S. and Bullet Time is significantly increased.
PJN0000098	You are able to optimize your Pip-Boy's V.A.T.S. logic, reducing all AP costs by 10%. Bullet Time is improved as well.
PJN0000099	While using a rifle (or similar two-handed weapon), your accuracy in V.A.T.S. and Bulllet Time is significantly increased.
PJN0000100	If you kill a target in V.A.T.S., 20 Action Points are restored upon exiting V.A.T.S. Bullet Time kills count as well.
PJN0000101	Stealth Nano-Bots grant you a portable stealth field, making you practicallly invisible for short durations.
PJN0000102	Your bionic eyes grant you enhanced vision modes to see at night and to pick up heat/electro-magnetic signatures.
PJN0000103	The AR combat scanner allows you to analyze enemies over long distances.
PJN0000104	Your adrenaline production is increased by the the RUSH Adrenaline Booster, resulting an AP regeneration bonus for killing enemies.
PJN0000105	Your lungs are synthetically enhanced, allowing you to sprint twice as long and to breathe underwater.
PJN0000106	The movement speed of your arm is increased by the Kinetic Accelerator, making attack and reload [%] faster during Bullet Time.
PJN0000107	The movement speed of your leg is increased by the Kinetic Accelerator, slowing down your surroundings by [%] during Sprint.
PJN0000108	Your [%] is implanted with Nanobionic Weave, causing the limb to regenerate itself if it takes any damage.
PJN0000109	Your fine motor abilities have been enhanced with the Hand Stabilzer, increasing your Lockpick and Repair skills by [%].
PJN0000110	Your muscle memory is enhanced by the Motor Memorizer, increasing your Energy Weapons and Guns skills by [%].
PJN0000111	The Neural Datatool interface has been installed in your hand, increasing your Science skill by [%].
PJN0000112	The sound of your footsteps has been reduced by the Tread Damper, increasing your Sneak skill by [%].
PJN0000113	The strain on your legs has been reduced by the Weight Absorber, increasing your carry capacity by [%].
PJN0000114	Hidden blades have been installed under your fingernails, increasing chance and damage of an Unarmed critical hit by [%].
PJN0000115	Thanks to the Voice Modulator, everything you say has a nice sound to it, thus increasing your Barter and Speech skills by [%].
PJN0000116	A robust constitution has no problems handling a few foreign elements! You can install up to 4 implants in your body.
PJN0000117	The number of implants your mind can handle would make other people's brain explode. You can install up to 4 implants in your head.
PJN0000118	Your wired synapses can process information at greater speed, increasing the bullet time slowdown by 20%.
PJN0000119	You like doing things with your hands... like replacing them! You can install up to 2 implants in each arm.
PJN0000120	Your legs don't grow hair anymore. Wonder how that happened... You can install up to 2 implants in each leg.
