///Project Nevada	
PJN0000001	쓰리 슈터
PJN0000002	44 구경 권총
PJN0000003	5mm 기관단총
PJN0000004	오토-가우스
PJN0000005	용기병 돌격 소총
PJN0000006	용기병 권총
PJN0000007	중공군 저격 소총
PJN0000008	용기병 검
PJN0000009	합금강 전투 산탄총
PJN0000010	극저온 리볼버
PJN0000011	유럽식 전투 소총
PJN0000012	화염방사 권총
PJN0000013	(★) 가우스 미니건
PJN0000014	오토-가우스 권총
PJN0000015	자가제 돌격 소총
PJN0000016	자가제 플라즈마 소총
PJN0000017	자가제 소총
PJN0000018	스텔스 레이저 권총
PJN0000019	(★) 해방자
PJN0000020	(★) 링컨의 리피터
PJN0000021	원격 파편 지뢰
PJN0000022	원격 플라즈마 지뢰
PJN0000023	원격 펄스 지뢰
PJN0000024	화염병
PJN0000025	(★) Q-41 멀티플라즈마 프로토타입
PJN0000026	(★) AES18 프로토타입
PJN0000027	인민의 소총
PJN0000028	원격 파이프밤
PJN0000029	플라즈마 분열기
PJN0000030	플라즈마 리피터
PJN0000031	레일건
PJN0000032	테슬라 소총 프로토타입
PJN0000033	와츠 레이저 권총
PJN0000034	와츠 레이저 소총
PJN0000035	충전된 멀티플라즈마 소총
PJN0000036	충전된 플라즈마 분열기
PJN0000037	충전된 트라이-빔 레이저 소총
PJN0000038	극저온 효과
PJN0000039	ECP를 2mm EC로 변환
PJN0000040	MFC를 2mm EC로 변환
PJN0000041	SEC를 2mm EC로 변환
PJN0000042	극저온 탄약
PJN0000043	Q-41 프로토타입 연구 기록
PJN0000044	설계도 - 극저온 탄약
PJN0000045	냉각기
PJN0000046	파워 아머 훈련 매뉴얼
PJN0000047	글로리아의 키카드
PJN0000048	쓰리 슈터 - 총열 강화
PJN0000049	5mm 기관단총 - 확장 총열
PJN0000050	5mm 기관단총 - 레이저 조준기
PJN0000051	5mm 기관단총 - 소음기
PJN0000052	자가제 돌격 소총 - 소음기
PJN0000053	자가제 플라즈마 소총 - 조준경
PJN0000054	자가제 소총 - 조준경
