0ME0000001	You quickly find a manilla folder with Pacer's name on it in the drawer marked "N-R".
0ME0000003	You quickly find a manilla folder with Bill's name on it in the drawer marked "N-R".
0ME0000005	The box contains a large amount of Jet. You could lace the Jet with some Psycho if you had some.
0ME0000007	Leave the jet alone.
0ME0000008	Take the jet.
0ME0000009	Take the Jet and leave Ralph's forged letter.
0ME0000010	Take the Jet and leave Jean-Baptiste's letter.
0ME0000011	Spike the Jet with Psycho.
0ME0000012	You carefully add Psycho to Pacer's Jet, guaranteeing an altogether different high the next time he uses it.
0ME0000014	The drawers of this filing cabinet are all labeled "Patient Records" followed by a subset of the alphabet.
0ME0000016	Leave the filing cabinet alone.
0ME0000017	Search for Pacer's patient file.
0ME0000020	The degree to which damaged items can be repaired is dependent on your Repair skill.
0ME0000029	Every time you level up, your Health increases, and you gain Skill Points to assign to your skills. You will also gain a new perk every other level.
0ME0000038	You have 4 tries to guess correctly. If you fail, the terminal will remain inaccessible until you own the password. You can exit hacking at any time and try again. However, exiting the terminal will force its security to reset, delaying your ability to start hacking again.
0ME0000071	The World Map shows an overhead map of the entire Mojave Wasteland area, and markers for any places that have been discovered during the course of your adventures. You can even fast travel directly to any place you have previously visited.
0ME0000091	Caravan players begin the game by establishing a mutual bet. There is only one betting phase per game. Since Caravan has its roots in merchant caravans, players are allowed to use any common currency available, regardless of its origins. Though bottle caps are common, players may also offer NCR dollars or Legion coins. Once a bet is established, players move on to deck building.
0ME0000093	To play Caravan, you must assemble a deck that consists of at least 30 cards. Cards may be found in the world or purchased from vendors. You may assemble any arrangement of cards, but certain deck compositions will have strengths and weaknesses against any given opponent.
0ME0000094	Once you have selected a satisfactory deck, you may proceed to game play. This interface will always remember the last Caravan deck you assembled, allowing for easy modifcation on subsequent games.
0ME0000096	The first phase of Caravan game play involves each player drawing eight cards from his or her deck. From this hand, each player, in turn, lays down one numbered card or ace per "track" on the three caravans. A player's three caravans are competing for contracts with their opponent's caravans opposite them on the same track.
0ME0000097	If a player has no numbered cards or aces in his or her hand, or if he or she is unhappy with any given card currently in hand, the player may discard and draw from his or her own deck. However, discarded cards are out of play for the current game and a smaller deck increases the player's odds that they will be forced to forfeit the game through exhaustion.
0ME0000099	Most game play in Caravan occurs during the Contract War. In this phase, both players are attempting to build their caravans and get them signed. To do this, their caravan must be neither light (below 21) or burdened (over 26). They must also compete with their opponent on the same track to prevent being outbid within the legal range.
0ME0000100	On each of the three tracks, a caravan is considered signed if its value is from 21 to 26 and it is higher than the opponent's caravan on the same track. If two caravans are tied, neither is signed until the tie is broken. The game ends when all three tracks have signed contracts. Note: it is possible for a player to win while signing only two of the three contracts (the third going to the opponent). In such cases, all winnings still go to the overall victor.
0ME0000101	Players have the following options on their turn:
0ME0000102	* Play one card and draw a new card from his or her deck.
0ME0000103	* Discard one card from his or her hand and draw a new card to replace it.
0ME0000104	* Remove one of his or her own caravans from the table, discarding all cards in it.
0ME0000105	Caravans are primarily built with numbered cards and aces, which can be placed in the player's caravans according to the following rules. Caravans with more than one card have a direction (ascending or descending) and a suit. Direction is determined by the last two cards in a caravan, suit by the last card in a caravan. All subsequent cards must continue in the same direction OR they must match suit. Cards of the same numerical value cannot be played in sequence, regardless of suit.
0ME0000106	Face cards can be attached to numbered cards and aces in any player or opponent caravan. Face cards affect numbered cards and aces in various ways:
0ME0000107	* Joker - Played against A, 2-10. Effects change based on whether it is an ace or numbered card (see below).  Multiple jokers may be played on the same card.
0ME0000108	* Ace - Value of 1. Jokers played on aces remove all other non-face cards of the ace's suit from the table.  E.g. a joker played on an ace of spades removes all spades (except face cards and that card, specifically) from the table.
0ME0000109	* 2-10 - Listed value. Jokers played on these cards remove all other cards of this value from the table. E.g. a joker played on a 4 of hearts removes all 4s (other than that card, specifically) from the table.
0ME0000110	* Jack - Played against A, 2-10. Removes that card, along with any face cards attached to it.
0ME0000111	* Queen - Played against A, 2-10. Reverses the current direction of the hand, changes the current suit of the hand. Multiple queens may be played on the same card.
0ME0000112	* King - Played against A, 2-10. Multplies the value of the card upon which it is played. Multiple kings on the same card will have a multiplicative effect. E.g. one king on a 3 = 6. Two kings on a 3 = 12.
0ME0000114	All weapons fall under a weapon skill category that determines how effective the weapon is: Guns, Energy Weapons, Explosives, Melee Weapons, or Unarmed. Compare the small icon below and to the left of the weapon's icon to the icon shown on the Pip-Boy's skill menu.
0ME0000115	* DAM/DPS: These indicate the base Damage and Damage Per Second, respectively. Weapons with a low DAM have difficulty penetrating armor. If you hit a target's Damage Threshold, switch to a weapon with a higher DAM or use ammo that reduces the target's Damage Threshold (e.g. Armor Piercing).
0ME0000116	* STR and Skill: Many weapons have a Strength and/or skill requirement. If your character does not meet the Strength or skill requirement for the weapon, its aim will wobble (if a firearm) or it will attack more slowly (if a hand-to-hand weapon).
0ME0000117	* CND: A weapon's Condition affects the amount of damage is does. At 75% Condition or higher, a weapon does maximum damage and only needs to be maintained. A weapon with low Condition will do less damage and may jam when reloaded.
0ME0000118	* Repair / Mod: These options take you to the Repair and Mod submenus, where you may repair damaged equipment or attach weapon modifications, respectively.
0ME0000120	Apparel can consist of many different types of gear ranging from clothing and armor to sunglasses and hats.
0ME0000121	* DT: Some apparel grants Damage Threshold (DT) to the wearer. Your DT is the sum of all DT for currently equipped apparel plus any bonuses from perks or chems. DT is directly subtracted from incoming damage, so a higher DT provides superior protection. Though a small percentage of damage can get through even the thickest armor, a high DT is quite valuable.
0ME0000122	* CND: Apparel's Condition (CND) affects how much protection it provides. Apparel above 50% CND provides maximum protection and only needs to be maintained.
0ME0000123	* Light/Medium/Heavy: Medium and Heavy apparel will slow characters down when equipped.
0ME0000124	* Repair: This option opens the Repair submenu, which allows apparel to be repaired by salvaging parts from similar items.
0ME0000126	Ammunition is used by almost all Guns and Energy Weapons but is sometimes used by other weapon types. Basic ammo types have no special effects, but ammo subtypes may increase damage, reduce an enemy's Damage Threshold, or even decrease a weapon's spread. Effects are listed on the ammo submenu when the ammo is highlighted. Most weapons can use any ammo subtype that starts with the same name as the base ammo. Common ammo subtypes include:
0ME0000127	* Armor Piercing: Ignores a large portion of the enemy's Damage Threshold, does slightly more damage.
0ME0000128	* Hollow Point: Does much more damage, but is easily blocked by armor.
0ME0000129	* Over Charge: Used by Energy Weapons, increases damage but degrades the weapon more quickly.
0ME0000130	* Slug: Used by shotguns, slugs replace buckshot with a single, large bullet that is more accurate.
0ME0000131	To switch ammo subtypes, equip them on this menu. Outside of the Pip-Boy, press 2 to cycle through ammo subtypes for your currently equipped weapon.
0ME0000133	Ammunition is used by almost all Guns and Energy Weapons but is sometimes used by other weapon types. Basic ammo types have no special effects, but ammo subtypes may increase damage, reduce an enemy's Damage Threshold, or even decrease spread. Effects are listed on the ammo submenu when the ammo is highlighted. Most weapons can use any ammo subtype that starts with the same name as the base ammo. Common ammo subtypes include:
0ME0000138	To switch ammo subtypes, equip them on this menu. Outside of the Pip-Boy, press [%] to cycle through ammo subtypes for your currently equipped weapon.
0ME0000140	Three basic types of objects in the world can launch the crafting interface: Campfires, Workbenches, and Reloading Benches. Each station allows the creation of a subset of items. Though many recipes are visible at any time in the game, some recipes will only appear when the player completes a quest or finds a special item. You may also find that certain companions or special locations can open special crafting interfaces for the player.
