0NA0000002	Faction Armor
0NA0000003	Bobby Pin
0NA0000004	Food for Sale
0NA0000005	Bottle Cap
0NA0000007	Caucasian
0NA0000008	Reanimate Eyes
0NA0000009	Ash Pile
0NA0000010	Goo Pile
0NA0000011	Bighorner
0NA0000013	Inventory Storage
0NA0000021	Pacer's Jet Stash
0NA0000022	Filing Cabinet
0NA0000023	Pacer's Patient Record
0NA0000025	Tool Cabinet
0NA0000026	Fire Damage
0NA0000027	Shock Damage
0NA0000028	Restore Health
0NA0000029	Repairing
0NA0000031	Case 45602
0NA0000032	Tag Skills
0NA0000033	Race
0NA0000034	Leveling
0NA0000036	Hacking
0NA0000037	Lockpicking
0NA0000038	Gas Valve
0NA0000040	Containers
0NA0000041	Barter
0NA0000042	Computers
0NA0000044	Healing
0NA0000045	Maps
0NA0000049	Caravan: Betting
0NA0000050	Caravan: Deck Building
0NA0000052	Caravan: Starting Caravans
0NA0000053	Caravan: Contract War
0NA0000054	Weapons
0NA0000056	Apparel
0NA0000057	Ammo
0NA0000059	Crafting
0NA0000060	Reputation
0NA0000061	Hardcore Needs
0NA0000062	NCR Ranger Veteran
0NA0000064	Powder Ganger
0NA0000070	Deathclaw
0NA0000077	Saint James' Room Key
0NA0000078	Recruit Legionary
0NA0000081	Rebreather
0NA0000082	Veteran Decanus
0NA0000083	Water Breathing
0NA0000085	Ballast Deployable Location
0NA0000087	Ballast Detonator
0NA0000089	Deployable Ballast
0NA0000090	Mental Attack
0NA0000091	Crashed B-29
0NA0000092	Legion Vexillarius
0NA0000094	Door
0NA0000095	Safe
0NA0000096	Deploy Ballast
0NA0000097	Hoover Dam Power Plant 01
0NA0000099	Gomorrah Floor Manager
0NA0000100	Gomorrah Cashier
0NA0000105	Minderlithe
0NA0000106	Mark I Turret
0NA0000109	Colonel Cassandra Moore
0NA0000110	NCR Trooper
0NA0000111	House Resort
0NA0000112	Crazed Chem Addict
0NA0000115	Terminal
0NA0000116	Dresser
0NA0000117	Vault 19 Locker
0NA0000118	Plasma Mine
0NA0000122	Ear
0NA0000123	Finger
0NA0000127	Jail Key
0NA0000128	Prostitute Outfit
0NA0000129	Chained Prostitute Outfit
0NA0000130	Exposed Prostitute Outfit
0NA0000131	NCR Military Police
0NA0000134	Desk
0NA0000137	Combat Armor
0NA0000138	Leather Armor
0NA0000139	Combat Helmet
0NA0000140	Sheriff's Duster
0NA0000142	Raider Painspike Armor
0NA0000143	Raider Psycho-Tic Helmet
0NA0000145	Andy
0NA0000146	Strength
0NA0000147	Perception
0NA0000149	Endurance
0NA0000150	Charisma
0NA0000152	Intelligence
0NA0000153	Agility
0NA0000154	Luck
0NA0000155	Reflector Control Panel
0NA0000156	Laser
0NA0000157	Fantastic
0NA0000158	Ignacio Rivas
0NA0000159	Lt. Haggerty
0NA0000160	Ghoul Prisoner
0NA0000161	Come Fly With Me
0NA0000162	Action Points
0NA0000163	Carry Weight
0NA0000164	Critical Chance
0NA0000165	Heal Rate
0NA0000166	Health
0NA0000167	Melee Damage
0NA0000168	Damage Resistance
0NA0000169	Posion Resistance
0NA0000170	Radiation Resistance
0NA0000171	Fatigue
0NA0000172	Karma
0NA0000173	Experience Points
0NA0000174	Head
0NA0000175	Chest
0NA0000176	Left Arm
0NA0000177	Right Arm
0NA0000178	Left Leg
0NA0000179	RightLeg
0NA0000180	Damage Rads
0NA0000181	Good Water
0NA0000183	Vending Machine
0NA0000186	Big Guns - OBSOLETE
0NA0000187	Energy Weapons
0NA0000188	Explosives
0NA0000189	Lockpick
0NA0000190	Medicine
0NA0000191	Melee Weapons
0NA0000192	Repair
0NA0000193	Science
0NA0000194	Guns
0NA0000195	Sneak
0NA0000196	Speech
0NA0000197	Survival
0NA0000198	Unarmed
0NA0000199	Engineer
0NA0000209	Bottlecap Mine
