0NA0000002	세력 갑옷
0NA0000003	머리핀
0NA0000004	판매하는 음식
0NA0000005	병뚜껑
0NA0000007	백인
0NA0000008	눈동자색 변경
0NA0000009	잿더미
0NA0000010	진득한 덩어리
0NA0000011	빅호너
0NA0000013	물품 보관함
0NA0000021	페이서의 제트 보관함
0NA0000022	서류 보관함
0NA0000023	페이서의 진료 기록
0NA0000025	공구 보관함
0NA0000026	화염 피해
0NA0000027	충격 피해
0NA0000028	체력 회복
0NA0000029	수리
0NA0000031	사건 파일 #45602
0NA0000032	확장 기술
0NA0000033	인종
0NA0000034	레벨업
0NA0000036	해킹
0NA0000037	자물쇠 따기
0NA0000038	가스 밸브
0NA0000040	보관함
0NA0000041	흥정
0NA0000042	컴퓨터
0NA0000044	회복
0NA0000045	지도
0NA0000049	캐러밴: 돈 걸기
0NA0000050	캐러밴: 덱 만들기
0NA0000052	캐러밴: 캐러밴 시작하기
0NA0000053	캐러밴: 계약 전쟁
0NA0000054	무기
0NA0000056	의복
0NA0000057	탄약
0NA0000059	제조
0NA0000060	평판
0NA0000061	하드코어 욕구
0NA0000062	NCR 베테랑 레인저
0NA0000064	파우더 갱어
0NA0000070	데스클로
0NA0000077	세인트 제임스의 방 열쇠
0NA0000078	군단 신병
0NA0000081	(★) 수중 호흡기
0NA0000082	베테랑 십인대장
0NA0000083	수중 호흡
0NA0000085	부레 부착 장소
0NA0000087	부레 기폭 장치
0NA0000089	부착형 부레
0NA0000090	정신 공격
0NA0000091	추락한 B-29
0NA0000092	군단 기수
0NA0000094	문
0NA0000095	금고
0NA0000096	부레 부착
0NA0000097	후버 댐 발전소 01
0NA0000099	고모라 매니저
0NA0000100	고모라 교환원
0NA0000105	평정
0NA0000106	마크 I 포탑
0NA0000109	카산드라 무어 대령
0NA0000110	NCR 보병
0NA0000111	하우스 리조트
0NA0000112	미친 약물 중독자
0NA0000115	단말기
0NA0000116	옷장
0NA0000117	볼트 19 사물함
0NA0000118	플라즈마 지뢰
0NA0000122	귀
0NA0000123	손가락
0NA0000127	감옥 열쇠
0NA0000128	창녀 옷
0NA0000129	체인 달린 창녀 옷
0NA0000130	야한 창녀 옷
0NA0000131	NCR 헌병
0NA0000134	책상
0NA0000137	전투 갑옷
0NA0000138	가죽 갑옷
0NA0000139	군용 헬멧
0NA0000140	(★) 보안관의 외투
0NA0000142	레이더 가시 갑옷
0NA0000143	정신나간 레이더 헬멧
0NA0000145	앤디
0NA0000146	힘
0NA0000147	인지력
0NA0000149	지구력
0NA0000150	매력
0NA0000152	지능
0NA0000153	민첩성
0NA0000154	행운
0NA0000155	전지판 조종 패널
0NA0000156	레이저
0NA0000157	판타스틱
0NA0000158	이그나시오 리바스
0NA0000159	해거티 중위
0NA0000160	구울 죄수
0NA0000161	나와 함께 날아요
0NA0000162	액션 포인트
0NA0000163	운반량
0NA0000164	치명타 확률
0NA0000165	회복률
0NA0000166	체력
0NA0000167	근접 피해
0NA0000168	피해 저항
0NA0000169	독 저항
0NA0000170	방사능 저항
0NA0000171	피로도
0NA0000172	카르마
0NA0000173	경험치
