0NO0000001	First Name: Pacer
0NO0000002	Last Name: Would not give/Doesn't know
0NO0000003	Bloodtype: AB
0NO0000004	Birthdate: Unsure
0NO0000005	Sex: M
0NO0000006	Note: Patient checked himself in at the urging of friends regarding a serious dependency on the drug known as Jet. Preliminary tests show continued use of the drug is very dangerous due to the patient's pre-existing heart condition (coronary arterial disease). Under no circumstances should any sort of stimulant (like Psycho) be taken, particularly with the patient's current drug of choice.
0NO0000008	The last entry of the journal reads:
0NO0000009	Things finally seem to be turning around. I made a nice bundle of caps turning in some scrap in the last town I passed, and now I have a new traveling companion. Her name is Jacklyn, and she's pretty cute. I'm not going to get ahead of myself here, but things are looking up! And to think, I was actually beginning to doubt the power of my lucky necklace!
0NO0000012	Pearl really doesn't trust outsiders. Maybe if I improve my reputation with the Boomers, she'll change her mind.
0NO0000013	Hey, baby, I need to go have a chat with this farmer, Trent Bascom, over at the Sharecropper Farms about that water thing I've been boring you with. Hope I didn't wake you when I left. Back in awhile.
0NO0000014	- White
0NO0000015	If anyone other than me is reading this, it probably means I'm dead at the hands of whoever the NCR sent looking for Corporal White.
0NO0000016	I've bent or broken the law many times in my life, but it was always for the greater good. Such was the case with Corporal White. Killing him was regrettable but necessary - had he been allowed to interfere, Westside would've been cut off from the NCR's water and the crops here would wither and die. I wasn't going to let that happen.
0NO0000017	I've paid for my crime. Don't let the people of Westside suffer because of me.
0NO0000018	- Tom Anderson
0NO0000019	Dear Die-ary,
0NO0000020	I've been in this shack for almost a week now. Nothing is happening. I'm so bored. And this shack is so hot. And it's totally ruining my hair. It's like, so hard to find dye this color in the wasteland. This sucks, I want to be a ghoul now. I hate all this waiting. Life, ugh, living is so overrated.
0NO0000022	Good news Die-ary! I think it's finally starting to happen. Ok, so I do feel like, totally miserable (what else is new ha-ha-ha) and my skin is starting to peel off, but I'm pretty sure that is the first step. Oh, and my hair! I finally got it just the way I like it and now it starts coming out. Why does ghoulification have to be so unfair?
0NO0000024	I'm so done being confined in this human body. So, today I moved in to the shack at the abandoned test site. There should be enough radiation there to turn me into a ghoul. All around me this world is bleak and dreadful; is it so wrong to want a body to match it? I wonder what color my skin will turn and if I'll be able to find a good shade of lipstick to go with it. Probably not. God, everything is so miserable.
0NO0000025	I managed to get Ranger Morales' corpse away from the Fiends. I should return to Pvt. Morales and let her know her husband's body is safe.
0NO0000026	What does it mean?  Why was there a blue star under my bottle cap?  Are the Red's behind this?  Is this part of their mind control?  They must be making me see things now, things that shouldn't be there.  The star shouldn't be there, why do I see a star?  It won't go away.  No matter how long I close my eyes it won't go away.  I want the star to go away!
0NO0000027	I saw one of the guys in the mess hall pull a bottle cap off a Sunset Sarsaparilla and then run to his room.  I knew he was hiding something so I broke into his room when he wasn't there and saw the bottle cap.  It had a blue star underneath it.  I think he's been marked for something but I can't figure out what.  All I know is I want that bottle cap.
0NO0000028	Pacer,
0NO0000029	Your Jet's safe with me, you little fucking punk. Come and get it if you can.
0NO0000032	I've taken your Jet to make up some of what you owe. If you want it back, you know where to find me.
0NO0000034	To my dearest Ellen,
0NO0000035	We're in a tough spot here and none of the men expect to make it out alive. Things look pretty grim. I'm writing this so that if anything happens to me, you know how much you meant to me.
0NO0000036	I was foolish to join the NCR and leave you behind and I've regretted it every second of every day that I've been here. My only wish now is to see you again and hold you in my arms. The only thing that keeps me going are my thoughts of you.
0NO0000037	Just know that I made mistakes, but you were the best thing that ever happened to me. I'm sorry, and I love you.
0NO0000038	Harry
0NO0000039	Dear Janey,
0NO0000040	If you're reading this, that means I didn't make it. I want you to know that you were the most important thing in my world. You were my sun, my moon, my stars. Even out here on the battlefield I thought of you every minute of every day. At night, I put your picture on the bunk above me and looked into your beautiful eyes until I fell asleep.
0NO0000041	Even though I'm gone, know that I'll always be with you. Just close your eyes and think of me and I'll be there, right by your side.
0NO0000043	Dear Mom and Dad,
0NO0000044	If you're reading this, you know I won't be coming home.
0NO0000045	I'm sorry how this all ended. I'm sorry for all the times that I didn't listen to you. I'm sorry for storming out the way I did.
0NO0000046	But I want you to know that you are the best parents anyone could ever have. You gave me everything I could have ever wanted, and I only now see that.
0NO0000047	Thank you for everything.
0NO0000048	Your son,
0NO0000049	James
0NO0000050	Audrey,
0NO0000051	Things have gotten pretty grim since my last letter. The conditions here at Forlorn Hope just keep getting worse and worse - food is scarce, medicine and supplies are limited, and we're all scared out of our minds. We lose a handful of good men every day. It's hard seeing all your friends die.
0NO0000052	The Major does his best to inspire hope and confidence, but it's just not working any more. Too many people have died here. Dr. Richards is a good man, if a little odd, but there's just too many wounded for him to handle.
0NO0000053	Through all this strife, I take solace in the fact that I'm fighting to keep our family safe. And when the NCR wins this fight, it'll make the world a better place for all of us.
0NO0000054	Take care of the kids and I'll write you again soon.
0NO0000055	Ted
0NO0000056	Dear Ma and Pa,
0NO0000057	If you're getting this letter, then I'm sure you've already heard the news. I'm sorry, but know now that I'm in a better place. Tell Mikey I did good, okay?
0NO0000058	You were the best family ever and I hope I've made you all proud.
0NO0000059	Will
0NO0000060	To my darling Gracie,
0NO0000061	Know that I died fighting for what I believed in. I know you never understood why I had to do this, but I'm thankful that you supported me anyway. I appreciated every letter you sent. They gave me hope when we had none out here. You were always the one thing keeping me going, and I thank you for that. I wish that this could have turned out differently, but know that I loved you with all my heart.
0NO0000062	Geoff
0NO0000063	Dear Sister,
0NO0000064	They're sending me into the no-man's land tomorrow, and by the time you read this, I'll be dead. That means that once again you were right and I was wrong. Ever since we were kids, I was always a thorn in your side, always doing everything you told me not to. Now, as I'm about to go off to my death, I realize you were only looking out for me all these years. I'm so sorry.
0NO0000065	I can only hope that you can find it in your heart to forgive me.
0NO0000066	Kevin
0NO0000067	To my brothers,
0NO0000068	If you're reading this, then I was probably killed by some slimy Legion scum who got lucky. Hopefully the bastard is dead and six feet under, but if not, you better avenge me or I will haunt you until the day you die.
0NO0000069	Quincy
0NO0000070	p.s. Kill all the Legion dogs that I wasn't able to.
0NO0000071	Blake ,
0NO0000072	Trent,
0NO0000073	I know no one in the NCR military believes you when you say water's gone missing, but I do. I'll meet up with you at the fields tomorrow and go over the evidence with you. Once I've confirmed my findings, I can go to Lieutenant Romanowski and get to the bottom of this once and for all.
0NO0000075	Boyd,
0NO0000076	Corporal White has once again been wasting my time with his crazy ideas about a water shortage. He was borderline insubordinate, and you need to put your people on a tighter leash. White's gone off to Westside to speak with that Follower of the Apocalypse, Tom Anderson, so look for him there.
0NO0000077	- Romanowski
0NO0000078	James,
0NO0000079	You and I served together for seven years, and I'm calling in a favor. I need you to convince General Oliver to stop transferring my men out of here and to deliver the replacements I was promised. I'm expected to put these prisoners to work making new rail lines and fixing the existing ones, but I can't do that if I don't have any guards to keep an eye on them. Does the general really expect the handful of men I have left to be able to keep several dozen hardened men in line?
0NO0000080	You owe me for that one time in Modoc. Don't let me down.
0NO0000081	Nathan
0NO0000082	Tyrone, you cheating bastard. Those supplies were paid up in full - you can't just raise the price all of a sudden. I can't afford the price, and besides, what am I going to tell Melissa?
0NO0000083	When you get this note, come up to Sloan. We need to talk.
0NO0000084	- Chomps
0NO0000085	Dearest Andrew,
0NO0000086	Writing this seems pretty morbid, but tomorrow we march into the no man's land between our camp and Nelson, which is crawling with Legion. The Major insisted I write this damn "if you get this, I'm dead" letter so here it is. What a crock. I have the luck of the devil and your love on my side, so I'll be home soon. Keep the porch light on for me.
0NO0000087	We'll party in New Vegas when I get back.
0NO0000088	I love you.
0NO0000089	Devin
0NO0000090	Dear Edna,
0NO0000091	Lost all our money at the casinos. Send more ASAP. Will get it all back. Trust me.
0NO0000092	Lenny
0NO0000093	Billy, don't be mad, but I lost all our savings at The Tops last night. It's not my fault, I was on a hot streak and was up 2000 caps, but then I had a run of bad luck and lost it all. I'm going to go see if I can scrounge up a few caps and try to get it all back. Please don't hate me.
0NO0000094	Sue
0NO0000095	Hey Mom!
0NO0000096	I have some good news and some bad news. The good news is that I didn't lose all my money on the 'silly gambling games' as you call them. The bad news is that I lost all my money on one of the girls at Gomorrah. You would have liked her though, she was a real classy lady. Well, since there's nothing left for me here and I'm all out of caps, I'll be heading home soon.
0NO0000097	Love you!
0NO0000099	Nicole,
0NO0000100	All my years of hard work have finally paid off. I hit the jackpot last night over at The Tops! I'll have to use a lot of the money to pay off some of the debts I've accrued over the years, but there is plenty left over to live well for the rest of our lives. I told you it'd happen!
0NO0000101	See you soon!
0NO0000103	Bruce,
0NO0000104	I think it's time we see other people. We're just not a good fit anymore. Besides, I met this amazing and rich guy at The Ultra-Luxe last night. He's a real winner, not a dirty farmhand like yourself.
0NO0000105	I never want to see you again.
0NO0000106	Lacy
0NO0000107	Dear Tracy,
0NO0000108	Things have been going well for me here in Vegas. I've had pretty decent luck at the tables lately and have been able to almost break even. I'm going to hit the roulette tables again tomorrow - I'm going to win big this time, real big. I can feel it.
0NO0000109	Wish me luck!
0NO0000110	Mark
0NO0000111	Dear Bravo Company,
0NO0000112	Being transferred to the NCR Embassy on the Strip has been the greatest thing that has happened to me since joining the NCR. It's a pretty easy gig watching the troopers during the day and making sure they don't get in trouble and then we get to spend our free time hanging out at the bars and clubs, getting drunk and partying.
0NO0000113	Wish you were here.
0NO0000114	Private Seamer
0NO0000115	To: Private Humphreys
0NO0000116	This has been the best 3-day pass yet. I learned my lesson early and ditched the casinos for the girls at Gomorrah. Now that is money well spent. You can't get that kind of service at Camp Golf.
0NO0000117	Going to sleep now while it's daylight and head back out to Gomorrah tonight for one last hurrah.
0NO0000118	Private Watkins
0NO0000119	To: Private Jackson
0NO0000120	This is the last time I take your advice. I went to the bar at Gomorrah, like you said. I got piss drunk, kicked out after getting too friendly with the dancers, fell into the gutter and puked all over myself before being picked up by some MP's.
0NO0000121	Next thing I know I'm waking up in the drunk tank two days later. Thanks for wasting my pass, jerk.
0NO0000122	Private Daniels
0NO0000123	To: Private Erwin
0NO0000124	If I hear of you pulling another prank on one of my troopers that causes them to return to duty without their clothing fully intact, I will personally make sure you get transferred to Camp Forlorn Hope and don't come back.
0NO0000125	I'll be watching you.
0NO0000126	Lt. Ashville
0NO0000127	Angela, my sweet.
0NO0000128	How slowly time crawls without the touch of your lips. I know you're still angry I enlisted, but I did it for you and for country - I won't have Legion scum anywhere near you or on NCR soil. Those red-skirted pansies don't stand a chance against me, don't you worry your pretty little head.
0NO0000129	Soon as my tour's up, I'll be home and you'll be in my arms again. I'll have a ring in my pocket and a question to pop. You know what I mean.
0NO0000130	Yours always,
0NO0000131	Elaine
0NO0000132	These past few years, the very idea of "fine dining" has seemed beyond our grasp; indeed, where does one even begin to look for something artfully prepared and beautifully presented by a world-class chef? Well, fellow epicures, I have found the on place left on this Godforsaken earth with Real Food.
0NO0000133	I present to you the Ultra-Luxe.
0NO0000134	Ignore the rabble on the street, the petty farmers and everyman-types rubbing their pitiful few caps together in an attempt to elevate themselves to some semblance of class. Ignore the filthy, disease-ridden prostitutes of the Gomorrah, whoring themselves to anyone with coin. Walk briskly to the fabulous Ultra-Luxe, the only building in New Vegas worth your attention (you'll know it when you see it). Enter the doors of their restaurant, the Gourmand, and speak with the lovely Marjorie - she'll arrange for your care.
0NO0000135	Dally not, for reservations must be made as early as possible. A sumptuous feast awaits you, dear friends.
0NO0000136	Those gangsters at the Tops cheated me. I know it, they're cheats and liars and thieves, their games are rigged. I've lost every last cap, every NCR bill I had left. Those slot machines, you can never win. They're programmed to just make you lose lose lose. Their cards are marked so their dealers can cheat you, I promise you this. Invisible ink or something. And their roulette tables? Please, what a joke. The ball must be magnetic, and they can tell it to land wherever they want. The people that do win there are plants, employees. There's no way I could have lost like that unless they were cheating, no way. No way.
0NO0000137	Those fancy suits can't buy them class, they're just a bunch of damn con men. They've taken everything from me. I have nothing left. Nothing...
0NO0000138	What am I going to do? I was supposed to win big here, this is where dreams happen. People told me I could make a fortune here, I just had to have the caps, and I could win myself a new future, now it's all gone, all gone...
0NO0000139	Cooke,
0NO0000140	This man has been useful to us down here at the prison, and he's been of great help keeping the NCR away. Since he's proven to be competent and trustworthy,  I sent him in your direction. Maybe he can help.
0NO0000141	If so, we're even.
0NO0000144	This woman has been useful to us down here at the prison, and she's been of great help keeping the NCR away. Since she's proven to be competent and trustworthy, I sent her in your direction. Maybe she can help.
0NO0000147	BUILDING A DECK
0NO0000148	Caravan decks are comprised of at least 30 cards from one or more traditional playing card sets. The deck may have any number of cards of any type that suits a player's strategy, although it cannot have duplicate cards from the same set. For example, a King of Spades from Set A and a King of Spades from the Set B deck is acceptable, but more than one King of Spades from Set A would be illegal.
0NO0000149	RULES
0NO0000150	Caravan is played with two players building three opposing piles (or "caravans") of numbered cards. The goal is to outbid your opponent's caravan with the highest value of numbered cards without being too light (under 21) or overburdened (over 26).
0NO0000151	The game begins with each player taking eight cards from their deck and placing either one numerical card or ace on each caravan. Players may not discard during this initial round.
0NO0000152	Once both players have started their three caravans, each player may do ONE of the following on their turn:
0NO0000153	1. Play one card and draw a new card from his or her deck to their hand.
0NO0000154	2. Discard one card from their hand and draw a new card from his or her deck.
0NO0000155	3. Disband one of their three caravans by removing all cards from that pile.
0NO0000156	Caravans have a direction, either ascending or descending numerically, and a suit. The suit is determined with the first card placed on a caravan, the direction by the second. All subsequent cards must continue the numerical direction or match the suit of the previous card. Cards of the same numerical value cannot be played in sequence, regardless of suit. Face cards can be attached to numeric cards in any caravan and affects them in various ways.
0NO0000157	CARD VALUES
0NO0000158	Joker: Played against ace, 2-10. Effects change based on whether it's an ace or a numbered card (see below). Multiple jokers may be played on the same card.
0NO0000159	Ace: Value of 1. Jokers played on aces remove all other non-face cards of the ace's suit from the table. E.g. a joker played on an Ace of Spades removes all spades (except face cards and that card, specifically) from the table.
0NO0000160	2-10: Listed value. Jokers played on these cards remove all other cards of this value from the table. E.g. a joker played on a 4 of Hearts removes all 4s (other than that card, specifically) from the table.
0NO0000161	Jack: Played against ace, 2-10. Removes that card, along with any face cards attached to it.
0NO0000162	Queen: Played against ace, 2-10. Reverses the current direction of the hand and changes the current suit of the hand. Multiple queens may be played on the same card.
