0NO0000001	이름 : 페이서 
0NO0000002	성 : 알려주지 않음/불명
0NO0000003	[CRLF]혈액형 : AB
0NO0000004	생일 : 불명
0NO0000005	성별 : 남자
0NO0000006	[CRLF]기록 사항: 이 환자는 친구들의 권유로 제트라고 알려진 마약에 대한 심각한 중독 증세를 치료받기 위해 왔다. 사전 검사에 의하면 지속적인 마약물 사용은 환자의 심장 상태(관상 동맥 질환)에 매우 위험한 것으로 나타났다. 환자의 중독 증세를 감안해서라도 모든 종류의 자극제(싸이코 같은) 사용은 피해야 한다.
0NO0000008	일지 막바지에 쓰인 내용은 아래와 같다:
0NO0000009	[CRLF]일이 드디어 잘 풀리기 시작했어. 지난번에 들린 마을에선 고철 팔아서 큰 돈도 만져보고 이제는 새로운 여행 동료랑 같이 다니기까지 하니까. 그녀의 이름은 재클린인데 정말 예뻐. 설레발치고 싶진 않지만 왠지 우리 둘이 잘 될 것 같아! 이게 다 내 행운의 목걸이의 힘 덕분이 아닌가 싶다!
0NO0000012	펄은 외부인을 신뢰하지 않는다. 아마 부머 사이에서 내 평판을 올리면, 그녀도 날 신뢰하게 될지도 모르겠다.
0NO0000013	자기야, 나 소작농장에 가서 트렌트 배스컴이란 농부랑 얘기 좀 하고 올게. 맨날 자기한테 얘기해서 자길 지루하게 만들었던 물 문제 때문에 가는 거야. 나 나가는 소리에 깨지 않았어야 할 텐데. 좀 이따가 올게.
0NO0000014	[CRLF]- 화이트
0NO0000015	나 이외의 사람이 이 글을 읽고 있다면, 난 이미 NCR에서 화이트 상병의 죽음을 조사하러 보내온 자들의 손에 죽은 이후일 것이다.
0NO0000016	[CRLF]인생을 살면서 법망을 피한 적도 있고 고의로 위법 행위를 한 적도 여러 차례 있지만, 항상 대의를 위해서 그랬던 거였다. 화이트 상병 건도 그랬다. 그를 죽이는 것은 안타깝지만 어쩔 수 없는 일이었다. 그가 방해했다면 웨스트사이드는 NCR의 물 공급을 더 이상 받지 못했을 테고, 이곳의 곡물은 전부 말라 죽어버렸을 것이다. 그런 일이 일어나게 둘 순 없었다.
0NO0000017	[CRLF]내 죄에 대한 대가는 이미 치렀으니, 웨스트사이드의 사람들이 나로 인해 고통받는 일은 없었으면 좋겠다.
0NO0000018	[CRLF]- 톰 앤더슨
0NO0000019	안녕, 일기장아.
0NO0000020	[CRLF]이 오두막에서 지낸 지도 벌써 일주일이 지나가네. 그런데 아무 일도 없었어. 정말 지루해. 그리고 여기는 왜 이리 덥지. 머리도 완전히 엉망이 되어버렸어. 이 색 내는 염색 약 찾기도 진짜 힘든데. 완전 짜증나, 이젠 구울이 되고 싶다고. 이렇게 기다리기만 하는 건 정말 싫어. 삶은, 어, 산다는 건 정말 과대평가 된 거야.
